geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
ind;storm_affected_annual_number;2000;6910000;4530000;0;25120;2501;600300;14490000;4011;1606000;153;132500;5301000;1558000;1336000;105200;3300000;80170;1900000;3700000;4102000;25120;185;72690;428800;12220;9179000;25;4665000;13880000;30000;27100;15390;531500;0;68670;150500;0;0
irl;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;11;0;0;0;2;0;0;0;0;0;2;0;2;8;1;0;0;0;200;0;0;0;0
irn;storm_affected_annual_number;0;0;60;0;0;14;0;0;0;0;0;200;0;0;0;0;0;0;0;0;0;22;3700;0;0;0;94;0;0;0;5503;0;0;0;2500;8000;0;160000;28
isr;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;413;0;0;0;0;0;0;0;0
ita;storm_affected_annual_number;235;0;0;5038;0;0;0;0;20;0;0;0;0;0;0;0;0;33;0;0;6;0;0;1008;103;0;0;22;0;0;0;0;0;0;0;0;1;0;0
jam;storm_affected_annual_number;0;0;0;2516;0;0;0;0;0;0;30020;0;0;0;0;307;0;0;810000;0;0;0;0;0;4;0;800;0;0;0;0;201;1504;0;350100;10400;0;33190;4013
jor;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;209;0;30;0;0;0;0;0;0
jpn;storm_affected_annual_number;0;135;50;101;334;243;325300;13080;3106;71;17040;82760;148500;253;0;30250;2375;65020;0;15;147800;91230;445;30580;130;503;5744;67010;49900;27360;193100;9910;100800;2424;331300;273200;12920;41010;0
kaz;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;0;0;0;0;0;0;0;0;0;0;0;0;0
ken;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kgz;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9079;0;0
khm;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0
kir;storm_affected_annual_number;0;0;703;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kna;storm_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1301;0;0;0;0;0;1800;0;0;10000;1180;0;0;0;0;0;0;0;0;0
kor;storm_affected_annual_number;2539;159;0;0;0;0;0;0;4000;35120;20180;14370;5110;0;0;77;6729;56620;0;75300;27;20820;433;8662;116;5233;0;0;4479;518;744;311;88830;80130;2936;1111;0;622;0
