geo;indicator;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
com;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.4152;;;;;;;;;;;;;
cpv;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19.27;;;;;;;;;;;;;;;;;;;;;;;;;21.4876;;
cri;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.9210000000000003;2.546;0.98;1.3530000000000002;1.7730000000000001;3.1;1.083;3.18;0.364;1.406;1.655;1.187;3.003;2.167;2.23;4.261;3.6069999999999998;0.39299999999999996;1.7990000000000002;2.865;5.2888;3.8901;6.0406;5.1506;4.3719;2.7503;3.347;3.3469
cym;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6.88;2.16;5.0;10.94;;5.9;9.15;9.27;13.27;4.69;3.18;;
cyp;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.22;;;;;;;;;0.0;;;;;;;;0.6013;;0.5774;1.1065;5.3938;1.8253;1.1806;2.2912;1.3206
cze;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;;5.35;3.167;4.206;4.2010000000000005;2.8573;6.3802;5.2427;2.4481;3.7218;3.6867;4.1421;2.3492;3.0260000000000002;2.3611;1.1318;0.8274;0.6076;1.3165;1.3913;2.8077;1.4869999999999999;1.2498;1.0195;0.7581;0.8034
deu;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.287;0.3482;0.4942;1.1986;1.8998;0.6573;0.5946;0.5628;1.2409999999999999;1.0366;0.9112;1.1566;0.9421;1.3212;1.4036;1.0902;1.1822;0.7948;0.4867;0.4463;0.8686;0.8108;0.8320000000000001;0.7313;1.0468;0.9273;0.9420000000000001;0.5687;0.9031;0.8529;0.8502;0.8164;0.8153;0.6765;0.7763
dma;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.1;;;;;;;;;;;;;;;;
dnk;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.82;2.4987;;1.4394;1.6701;1.1887;1.9775;2.4085;3.3884;1.7482;2.2167;;;4.6054;;3.0974;;3.7311;0.8007;;0.65;;0.6803;;1.9316;0.7089;0.0825;0.9218;0.922;0.5855;0.4011;0.3465;0.7198;1.0023;1.0559
dom;aged_65plus_unemployment_rate_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12.0;;;0.7155;0.585;0.4475;0.4087;1.0267;1.1697;0.5023;0.5479;;1.0081;0.8059;1.0613;
