geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
brb;mean_years_in_school_men_35_to_44_years;3.95;4.04;4.14;4.23;4.32;4.42;4.52;4.62;4.72;4.82;4.92;5.03;5.13;5.24;5.35;5.46;5.57;5.69;5.8;5.92;6.04;6.16;6.28;6.4;6.52;6.65;6.77;6.9;7.02;7.15;7.28;7.41;7.54;7.67;7.81;7.94;8.08;8.21;8.35;8.48;8.62;8.76;8.9;9.04;9.18;9.32
brn;mean_years_in_school_men_35_to_44_years;7.73;7.86;8.0;8.13;8.27;8.4;8.54;8.68;8.82;8.95;9.09;9.23;9.37;9.51;9.65;9.79;9.93;10.07;10.21;10.35;10.49;10.63;10.77;10.91;11.05;11.19;11.33;11.47;11.61;11.74;11.88;12.01;12.15;12.28;12.42;12.55;12.68;12.81;12.94;13.07;13.19;13.32;13.44;13.57;13.69;13.81
btn;mean_years_in_school_men_35_to_44_years;2.06;2.11;2.16;2.22;2.27;2.33;2.39;2.45;2.51;2.57;2.64;2.7;2.77;2.84;2.91;2.98;3.05;3.12;3.2;3.28;3.35;3.43;3.51;3.6;3.68;3.76;3.85;3.94;4.03;4.12;4.21;4.31;4.4;4.5;4.6;4.7;4.8;4.9;5.01;5.11;5.22;5.33;5.44;5.55;5.66;5.78
bwa;mean_years_in_school_men_35_to_44_years;1.81;1.86;1.92;1.98;2.04;2.1;2.17;2.24;2.31;2.38;2.46;2.54;2.62;2.71;2.8;2.9;3.0;3.11;3.23;3.35;3.47;3.61;3.75;3.89;4.05;4.21;4.32;4.42;4.53;4.64;4.75;4.86;4.97;5.08;5.19;5.31;5.42;5.54;5.66;5.78;5.9;6.02;6.14;6.27;6.39;6.52
caf;mean_years_in_school_men_35_to_44_years;2.4;2.46;2.53;2.59;2.65;2.72;2.79;2.86;2.93;3.0;3.07;3.15;3.23;3.31;3.39;3.47;3.55;3.64;3.73;3.81;3.91;4.0;4.09;4.19;4.29;4.39;4.49;4.6;4.71;4.81;4.92;5.03;5.14;5.25;5.37;5.48;5.6;5.72;5.83;5.95;6.08;6.2;6.32;6.45;6.57;6.7
can;mean_years_in_school_men_35_to_44_years;9.74;9.9;10.07;10.24;10.4;10.57;10.73;10.9;11.06;11.22;11.38;11.53;11.69;11.84;11.98;12.13;12.27;12.4;12.54;12.67;12.8;12.92;13.04;13.16;13.27;13.38;13.48;13.58;13.67;13.77;13.87;13.97;14.07;14.16;14.26;14.36;14.46;14.55;14.65;14.75;14.84;14.94;15.04;15.13;15.23;15.32
che;mean_years_in_school_men_35_to_44_years;8.75;8.89;9.03;9.17;9.31;9.45;9.59;9.74;9.88;10.02;10.16;10.31;10.45;10.59;10.73;10.87;11.01;11.15;11.29;11.43;11.57;11.7;11.84;11.98;12.11;12.24;12.37;12.5;12.63;12.76;12.88;13.01;13.13;13.25;13.37;13.49;13.61;13.73;13.85;13.96;14.08;14.19;14.3;14.41;14.52;14.63
chl;mean_years_in_school_men_35_to_44_years;5.98;6.1;6.22;6.33;6.45;6.57;6.7;6.82;6.94;7.07;7.19;7.32;7.44;7.57;7.7;7.83;7.96;8.09;8.22;8.35;8.48;8.61;8.75;8.88;9.01;9.15;9.29;9.42;9.56;9.7;9.84;9.98;10.12;10.26;10.39;10.53;10.67;10.81;10.95;11.09;11.22;11.36;11.5;11.63;11.77;11.9
chn;mean_years_in_school_men_35_to_44_years;4.63;4.73;4.83;4.93;5.04;5.15;5.26;5.37;5.48;5.6;5.71;5.83;5.95;6.07;6.19;6.31;6.44;6.57;6.69;6.82;6.96;7.09;7.22;7.36;7.49;7.63;7.77;7.9;8.04;8.17;8.31;8.44;8.58;8.72;8.86;8.99;9.13;9.27;9.41;9.55;9.68;9.82;9.96;10.1;10.24;10.38
civ;mean_years_in_school_men_35_to_44_years;2.04;2.09;2.15;2.2;2.26;2.32;2.38;2.44;2.5;2.56;2.63;2.69;2.76;2.83;2.9;2.97;3.04;3.12;3.19;3.27;3.34;3.42;3.5;3.58;3.67;3.75;3.83;3.92;4.0;4.09;4.18;4.27;4.36;4.45;4.54;4.64;4.73;4.83;4.93;5.03;5.13;5.24;5.34;5.45;5.56;5.67
cmr;mean_years_in_school_men_35_to_44_years;2.84;2.92;3.0;3.08;3.16;3.25;3.34;3.43;3.52;3.62;3.72;3.82;3.93;4.04;4.15;4.26;4.38;4.5;4.62;4.74;4.87;5.0;5.14;5.28;5.41;5.56;5.69;5.83;5.97;6.1;6.24;6.38;6.51;6.65;6.78;6.91;7.05;7.18;7.31;7.44;7.58;7.71;7.84;7.97;8.1;8.23
cod;mean_years_in_school_men_35_to_44_years;3.77;3.85;3.94;4.03;4.13;4.22;4.32;4.41;4.51;4.61;4.71;4.82;4.92;5.03;5.14;5.25;5.36;5.47;5.58;5.7;5.81;5.93;6.05;6.17;6.29;6.41;6.53;6.66;6.78;6.9;7.03;7.15;7.28;7.41;7.54;7.67;7.8;7.93;8.06;8.19;8.32;8.46;8.59;8.72;8.86;9.0
cog;mean_years_in_school_men_35_to_44_years;3.93;4.03;4.13;4.24;4.34;4.45;4.57;4.68;4.8;4.92;5.05;5.18;5.31;5.45;5.59;5.73;5.87;6.02;6.18;6.34;6.5;6.66;6.83;7.0;7.18;7.36;7.54;7.71;7.89;8.06;8.22;8.39;8.55;8.71;8.87;9.03;9.18;9.34;9.49;9.64;9.79;9.93;10.08;10.22;10.36;10.51
col;mean_years_in_school_men_35_to_44_years;3.82;3.91;4.0;4.1;4.19;4.29;4.39;4.49;4.59;4.7;4.81;4.91;5.02;5.14;5.25;5.37;5.48;5.6;5.72;5.84;5.97;6.09;6.22;6.34;6.47;6.6;6.73;6.85;6.98;7.1;7.23;7.36;7.49;7.62;7.75;7.88;8.01;8.14;8.28;8.41;8.55;8.68;8.82;8.96;9.09;9.23
com;mean_years_in_school_men_35_to_44_years;1.9;1.95;2.01;2.06;2.11;2.17;2.23;2.28;2.34;2.4;2.47;2.53;2.6;2.67;2.74;2.81;2.88;2.95;3.03;3.11;3.19;3.27;3.36;3.44;3.53;3.62;3.72;3.83;3.93;4.03;4.14;4.25;4.35;4.46;4.57;4.69;4.8;4.91;5.03;5.14;5.26;5.38;5.5;5.62;5.74;5.86
cpv;mean_years_in_school_men_35_to_44_years;2.2;2.25;2.31;2.37;2.43;2.49;2.55;2.62;2.68;2.75;2.82;2.89;2.96;3.03;3.1;3.18;3.26;3.33;3.41;3.49;3.58;3.66;3.75;3.83;3.92;4.01;4.11;4.2;4.29;4.39;4.49;4.59;4.69;4.79;4.89;5.0;5.1;5.21;5.32;5.43;5.54;5.65;5.77;5.88;6.0;6.12
cri;mean_years_in_school_men_35_to_44_years;4.18;4.28;4.37;4.47;4.57;4.67;4.77;4.87;4.98;5.08;5.19;5.3;5.41;5.52;5.63;5.75;5.86;5.98;6.09;6.21;6.33;6.45;6.58;6.7;6.82;6.94;7.06;7.19;7.31;7.43;7.56;7.69;7.81;7.94;8.07;8.2;8.33;8.47;8.6;8.73;8.87;9.0;9.14;9.28;9.41;9.55
cub;mean_years_in_school_men_35_to_44_years;5.78;5.91;6.03;6.16;6.29;6.43;6.56;6.7;6.84;6.98;7.12;7.26;7.41;7.55;7.7;7.85;8.0;8.16;8.31;8.46;8.62;8.77;8.93;9.08;9.24;9.39;9.54;9.69;9.84;9.99;10.14;10.29;10.44;10.59;10.73;10.88;11.02;11.16;11.31;11.45;11.59;11.73;11.87;12.0;12.14;12.27
cyp;mean_years_in_school_men_35_to_44_years;7.32;7.46;7.61;7.75;7.9;8.05;8.21;8.36;8.51;8.67;8.83;8.99;9.15;9.31;9.47;9.63;9.8;9.96;10.12;10.29;10.45;10.61;10.77;10.93;11.08;11.23;11.36;11.49;11.63;11.76;11.89;12.02;12.15;12.27;12.4;12.53;12.66;12.78;12.91;13.03;13.15;13.28;13.4;13.52;13.64;13.76
cze;mean_years_in_school_men_35_to_44_years;8.8;8.95;9.09;9.23;9.37;9.51;9.65;9.79;9.94;10.08;10.22;10.35;10.49;10.63;10.77;10.9;11.03;11.17;11.3;11.43;11.55;11.68;11.8;11.92;12.04;12.15;12.26;12.36;12.47;12.58;12.68;12.79;12.89;12.99;13.1;13.2;13.31;13.41;13.51;13.62;13.72;13.83;13.93;14.03;14.14;14.24
deu;mean_years_in_school_men_35_to_44_years;7.51;7.65;7.79;7.93;8.08;8.23;8.37;8.52;8.67;8.82;8.97;9.13;9.28;9.43;9.58;9.73;9.89;10.04;10.19;10.34;10.5;10.65;10.8;10.95;11.1;11.25;11.39;11.52;11.65;11.79;11.92;12.05;12.18;12.31;12.44;12.57;12.69;12.82;12.95;13.07;13.2;13.32;13.44;13.56;13.68;13.8
dji;mean_years_in_school_men_35_to_44_years;2.69;2.75;2.82;2.89;2.96;3.03;3.11;3.18;3.26;3.34;3.41;3.5;3.58;3.66;3.75;3.83;3.92;4.01;4.1;4.19;4.29;4.38;4.48;4.58;4.68;4.78;4.88;4.99;5.09;5.2;5.31;5.42;5.53;5.64;5.76;5.87;5.99;6.11;6.23;6.35;6.47;6.59;6.72;6.84;6.97;7.09
dma;mean_years_in_school_men_35_to_44_years;4.82;4.93;5.03;5.14;5.25;5.36;5.47;5.58;5.69;5.81;5.92;6.04;6.16;6.28;6.4;6.52;6.65;6.77;6.9;7.03;7.16;7.29;7.42;7.55;7.68;7.82;7.95;8.08;8.22;8.36;8.49;8.63;8.77;8.91;9.05;9.18;9.32;9.46;9.6;9.74;9.88;10.02;10.16;10.3;10.44;10.58
dnk;mean_years_in_school_men_35_to_44_years;8.94;9.07;9.21;9.35;9.49;9.63;9.77;9.91;10.04;10.18;10.32;10.46;10.59;10.73;10.86;11.0;11.13;11.26;11.4;11.53;11.66;11.78;11.91;12.04;12.16;12.28;12.4;12.52;12.64;12.75;12.87;12.99;13.11;13.23;13.34;13.46;13.57;13.69;13.8;13.92;14.03;14.14;14.25;14.36;14.47;14.58
dom;mean_years_in_school_men_35_to_44_years;3.79;3.89;3.98;4.08;4.19;4.29;4.4;4.51;4.62;4.73;4.85;4.96;5.08;5.21;5.33;5.46;5.59;5.72;5.85;5.98;6.12;6.26;6.39;6.53;6.67;6.81;6.94;7.07;7.2;7.32;7.45;7.58;7.71;7.84;7.97;8.1;8.23;8.36;8.49;8.62;8.76;8.89;9.02;9.16;9.29;9.43
dza;mean_years_in_school_men_35_to_44_years;1.57;1.62;1.67;1.72;1.78;1.84;1.9;1.96;2.03;2.1;2.17;2.24;2.32;2.4;2.48;2.57;2.66;2.76;2.86;2.97;3.08;3.2;3.33;3.47;3.62;3.77;3.89;4.0;4.12;4.23;4.35;4.47;4.58;4.7;4.82;4.93;5.05;5.17;5.29;5.41;5.54;5.66;5.78;5.91;6.03;6.16
ecu;mean_years_in_school_men_35_to_44_years;4.26;4.35;4.46;4.56;4.66;4.77;4.88;4.99;5.1;5.22;5.33;5.45;5.57;5.69;5.82;5.94;6.07;6.2;6.33;6.47;6.6;6.74;6.87;7.01;7.15;7.3;7.43;7.57;7.71;7.84;7.98;8.12;8.26;8.4;8.54;8.67;8.81;8.95;9.09;9.23;9.37;9.51;9.66;9.8;9.94;10.08
egy;mean_years_in_school_men_35_to_44_years;3.78;3.88;3.98;4.09;4.19;4.3;4.41;4.52;4.64;4.76;4.88;5.0;5.13;5.26;5.39;5.52;5.66;5.8;5.94;6.09;6.24;6.39;6.54;6.69;6.85;7.0;7.15;7.29;7.43;7.57;7.71;7.85;7.99;8.13;8.27;8.4;8.54;8.68;8.82;8.96;9.1;9.23;9.37;9.51;9.65;9.78
eri;mean_years_in_school_men_35_to_44_years;1.48;1.52;1.56;1.6;1.64;1.68;1.73;1.77;1.82;1.87;1.92;1.97;2.02;2.07;2.13;2.18;2.24;2.3;2.36;2.42;2.48;2.54;2.61;2.68;2.75;2.82;2.89;2.97;3.04;3.12;3.2;3.28;3.36;3.44;3.53;3.61;3.7;3.79;3.88;3.97;4.06;4.15;4.25;4.34;4.44;4.54
esp;mean_years_in_school_men_35_to_44_years;5.47;5.59;5.71;5.83;5.96;6.08;6.21;6.34;6.47;6.61;6.74;6.88;7.02;7.16;7.31;7.45;7.6;7.75;7.9;8.06;8.21;8.37;8.53;8.69;8.85;9.02;9.17;9.33;9.48;9.63;9.78;9.93;10.08;10.23;10.38;10.53;10.67;10.82;10.96;11.11;11.25;11.39;11.53;11.67;11.81;11.95
est;mean_years_in_school_men_35_to_44_years;7.32;7.46;7.59;7.72;7.86;8.0;8.14;8.27;8.42;8.56;8.7;8.84;8.99;9.13;9.28;9.43;9.58;9.73;9.88;10.03;10.18;10.33;10.49;10.64;10.79;10.95;11.1;11.25;11.39;11.54;11.68;11.83;11.97;12.1;12.24;12.38;12.51;12.64;12.77;12.9;13.03;13.16;13.28;13.41;13.53;13.65
eth;mean_years_in_school_men_35_to_44_years;1.67;1.72;1.77;1.82;1.87;1.92;1.97;2.02;2.08;2.13;2.19;2.25;2.31;2.37;2.44;2.5;2.57;2.64;2.71;2.78;2.85;2.92;3.0;3.07;3.15;3.23;3.31;3.38;3.46;3.54;3.63;3.71;3.79;3.88;3.96;4.05;4.13;4.22;4.31;4.4;4.49;4.58;4.67;4.76;4.86;4.95
