geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
mex;storm_deaths_annual_number;0;17;0;0;13;29;720;10;0;0;0;100;225;275;4;0;0;0;288;0;38;13;3;38;0;170;16;242;255;9;31;5;16;4;20;47;15;20;2
mhl;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mkd;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
mmr;storm_deaths_annual_number;0;0;0;0;0;200;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;0;236;0;34;0;138400
mng;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;6;0;7;0;0;0;0;0;0;23;16;3;0;0;0;0;0;52
mnp;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
moz;storm_deaths_annual_number;0;0;0;0;0;0;0;3;4;0;0;0;0;0;109;0;0;0;100;0;0;0;0;0;240;0;11;0;0;0;32;0;3;11;0;0;0;10;9
mrt;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
msr;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mtq;storm_deaths_annual_number;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
mus;storm_deaths_annual_number;0;0;2;0;0;9;0;0;0;5;0;0;0;1;0;0;0;0;0;1;0;0;0;0;2;0;3;0;0;0;0;0;3;0;0;0;0;2;0
mwi;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0
mys;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;270;2;0;0;0;0;2;0;1;0;0;0;0
ncl;storm_deaths_annual_number;0;0;3;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
ner;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0
nga;storm_deaths_annual_number;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0
nic;storm_deaths_annual_number;0;35;0;0;0;0;0;0;0;0;0;0;71;0;0;0;0;0;130;0;0;0;0;37;0;38;44;0;3332;0;2;16;2;0;0;7;0;188;13
niu;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
nld;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;1;0;2;0;0;0;0;4;0;0;0;0;7;0
nor;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
npl;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;70;0;0;6;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0
nzl;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1;3;0;0;0;0;0;2;0;0;0;0;0
omn;storm_deaths_annual_number;0;0;0;0;0;0;0;107;0;0;0;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;30;0;0;0;76;0
pak;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;18;56;0;0;0;0;11;0;36;0;0;0;0;609;36;0;0;41;12;258;0;4;14;51;0;58;0;242;0
pan;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;12;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0
per;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;518;0;0;0;0;59;0;0;0;0;0;0
phl;storm_deaths_annual_number;3802;246;435;346;203;39;387;104;617;62;212;999;563;128;2679;186;176;1094;788;378;737;6083;101;518;248;1249;38;49;594;100;394;587;305;95;1861;34;1805;89;819
png;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;32;0;0;0;0;0;0;0;0;0;172;0
pol;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;9;0;0;0;0;19;2
pri;storm_deaths_annual_number;0;0;0;0;0;26;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;18;0;0;1;0;0;0;0;2;0;0;1;0
prk;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;46;0;3;0;0;0;0;0;0
prt;storm_deaths_annual_number;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;0;4;0;0;0;0;0;0;0;0
pry;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0
pyf;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
reu;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;0;0;10;0;10;0;0;0;14;0;0;0;0;0;0;2;0;0;0;0;0;0;2;0
rou;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;12;0;0;14;0;0;0;12;3;0;0;0
rus;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;145;0;0;8;12;9;8;8;0;9;0;0;0;0
sau;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
scg;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sdn;storm_deaths_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;0;0;0;0;0;0
