geo;indicator;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
bwa;sugar_per_person_g_per_day;47.13;46.02;46.46;45.69;45.58;44.8;43.99;43.56;44.58;44.88;45.52;44.85;43.72;45.94;45.79;47.45;37.27;45.45;48.09;54.82;60.07;63.06;62.76;62.08;60.72;62.35;66.05;67.5;65.25;65.05;75.15;79.59;68.5;66.32;62.77;60.89;65.97;66.03;66.34;65.39;67.04;67.58;81.01;77.62;79.27;81.4;84.93;79.12;83.22;93.39;81.88;80.43;84.98
caf;sugar_per_person_g_per_day;8.28;8.63;9.3;9.15;9.25;10.99;15.02;12.62;13.21;13.72;13.42;10.81;11.38;11.19;10.06;10.04;10.53;11.26;11.2;10.26;10.45;10.74;9.16;8.67;10.97;11.87;12.36;17.69;17.58;19.7;17.1;17.73;16.73;20.39;21.38;16.99;24.11;24.38;20.86;27.7;21.35;21.33;26.21;28.22;28.54;24.02;25.71;25.66;24.62;23.32;24.15;25.68;22.45
can;sugar_per_person_g_per_day;125.27;131.9;127.8;124.79;129.29;135.64;133.01;131.66;137.02;135.77;134.52;134.28;132.77;127.33;122.22;130.93;130.22;126.52;122.68;117.76;117.51;112.53;114.72;121.24;121.72;126.7;128.45;117.21;112.59;116.89;115.35;119.51;124.77;127.26;130.28;135.86;141.0;142.34;134.11;138.53;144.88;152.59;153.17;148.73;147.43;144.56;146.04;140.5;135.65;126.29;137.0;132.13;132.23
che;sugar_per_person_g_per_day;146.47;149.58;122.12;139.23;138.15;137.6;133.47;146.74;142.89;146.09;141.87;155.83;138.8;147.4;101.58;118.11;143.18;122.76;125.47;126.88;132.31;123.64;139.24;131.8;128.26;134.7;132.21;143.4;137.26;139.73;123.06;133.84;137.29;123.77;133.33;143.67;141.2;132.52;138.01;149.18;147.33;156.58;155.79;162.79;161.25;164.23;161.52;162.81;159.24;160.87;159.5;165.33;165.51
cheslo;sugar_per_person_g_per_day;124.36;124.4;124.71;121.96;121.24;121.36;119.98;128.06;126.27;123.09;121.97;122.51;126.55;125.79;123.29;125.17;118.35;126.53;127.29;123.52;121.4;123.01;117.97;115.47;109.62;116.18;113.54;123.8;119.91;136.44;127.05;129.59;;;;;;;;;;;;;;;;;;;;;
chl;sugar_per_person_g_per_day;75.57;96.36;98.78;88.77;82.12;78.97;83.99;82.08;103.1;100.96;107.41;110.97;88.62;89.05;83.64;94.57;99.23;104.01;103.54;104.55;102.26;96.29;92.46;99.25;91.72;98.83;103.41;101.04;106.12;106.23;106.4;118.56;118.19;119.45;121.92;124.17;126.17;128.0;130.64;125.34;121.7;123.99;116.6;119.39;119.49;119.08;129.23;130.35;130.43;133.08;133.36;132.61;131.06
chn;sugar_per_person_g_per_day;5.41;5.0;5.4;6.57;7.0;7.23;6.56;7.21;7.36;7.17;6.94;7.7;8.25;7.74;7.87;8.07;9.79;10.08;11.47;13.25;13.14;17.24;15.42;17.0;18.96;17.54;19.15;21.67;18.61;18.73;21.32;18.88;14.01;15.65;18.13;20.32;22.83;22.29;17.05;15.73;16.54;15.73;17.38;16.71;16.93;17.16;17.73;17.49;18.02;17.9;18.75;18.89;18.76
civ;sugar_per_person_g_per_day;22.2;22.6;19.7;17.79;22.28;24.16;21.3;23.28;22.83;23.57;22.59;21.3;21.48;21.87;19.42;20.04;20.9;22.19;21.62;27.2;27.35;28.66;28.69;26.18;27.91;32.61;31.79;33.36;31.72;28.45;28.88;29.89;28.81;28.43;27.17;24.34;23.89;25.37;24.76;22.28;23.17;28.42;29.12;27.25;27.29;26.58;28.26;27.57;25.19;27.15;28.67;25.56;28.16
cmr;sugar_per_person_g_per_day;4.32;4.53;4.46;5.18;5.88;6.43;7.54;7.4;9.77;11.36;11.97;12.17;12.49;14.98;14.25;14.64;16.91;17.23;18.8;19.74;20.37;19.01;19.69;13.91;13.78;15.88;16.98;16.88;15.6;18.08;17.38;18.34;18.81;17.5;18.28;19.2;24.87;20.62;19.31;24.09;24.64;29.29;27.31;26.84;25.55;23.53;27.36;26.18;21.47;26.38;27.03;25.86;27.23
cog;sugar_per_person_g_per_day;5.05;4.06;9.48;7.88;7.64;7.09;6.24;6.12;6.88;6.43;8.13;11.55;14.49;12.57;17.49;15.64;17.79;19.46;21.34;24.27;22.41;21.07;25.51;25.82;26.39;23.96;23.82;25.08;25.94;26.48;25.11;18.61;17.95;20.43;22.35;21.45;17.01;23.44;24.45;27.29;31.84;34.77;37.22;41.24;39.83;42.07;51.93;52.0;38.63;37.11;38.32;41.85;48.37
col;sugar_per_person_g_per_day;159.82;158.56;144.92;141.72;132.88;130.04;123.29;118.41;129.39;120.34;128.57;136.17;138.5;149.7;169.01;180.57;178.26;189.94;182.95;187.93;174.75;183.65;188.0;183.48;186.64;183.47;199.96;180.69;180.33;172.7;178.04;183.28;178.95;177.81;178.14;170.11;172.23;173.22;178.51;172.0;175.39;171.71;173.26;173.85;168.89;166.54;167.39;166.86;163.78;149.53;150.82;155.42;159.96
cpv;sugar_per_person_g_per_day;40.11;40.37;36.74;39.6;37.39;43.93;43.38;46.62;54.33;54.52;54.19;54.58;39.11;39.78;25.28;25.16;25.86;27.03;29.09;31.29;34.06;35.82;43.33;40.41;40.07;41.6;44.32;43.19;46.03;46.19;48.04;50.59;50.49;51.75;53.61;52.1;54.25;53.25;59.71;65.48;76.17;67.87;70.46;70.96;66.86;61.92;61.03;60.77;60.58;58.01;57.7;56.24;52.89
cri;sugar_per_person_g_per_day;122.63;123.17;119.93;131.04;125.79;130.73;120.54;133.84;132.95;143.36;152.18;158.84;170.55;172.33;175.43;169.25;177.52;175.17;168.49;169.24;180.01;180.41;167.62;169.9;187.11;180.42;176.72;172.09;161.17;165.2;164.2;165.8;165.5;164.02;161.73;159.23;156.84;158.03;158.41;154.63;151.2;151.77;153.4;151.54;156.78;157.53;161.16;153.91;150.49;149.88;148.56;149.09;144.01
cub;sugar_per_person_g_per_day;134.36;137.2;139.03;139.23;141.5;142.23;142.88;143.6;144.29;143.32;142.38;143.17;138.76;153.86;145.27;153.0;147.92;156.08;145.79;147.98;153.21;179.36;186.64;190.7;179.28;181.45;188.83;166.21;168.45;162.83;161.96;160.78;160.24;150.54;159.99;166.96;182.54;176.71;186.75;179.57;170.39;155.96;148.37;169.64;148.33;139.42;137.42;122.49;161.74;165.41;157.66;149.88;145.97
cyp;sugar_per_person_g_per_day;61.39;62.12;63.65;67.24;76.2;78.58;79.79;84.54;83.88;83.94;85.5;85.56;88.02;63.14;40.6;57.64;62.35;65.01;75.27;66.05;63.22;76.71;80.66;87.42;83.3;84.42;82.31;66.24;75.41;92.24;97.52;98.38;103.76;106.17;116.63;98.35;95.15;95.18;95.79;99.53;90.27;105.67;110.9;113.45;104.93;91.19;100.18;95.67;90.28;88.68;93.21;88.47;101.12
cze;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;112.47;108.3;127.08;140.71;129.91;128.02;121.18;121.48;127.36;140.39;150.38;150.4;103.07;88.0;95.19;95.8;106.61;110.7;113.15;119.42;117.57
deu;sugar_per_person_g_per_day;94.33;93.61;95.12;98.71;94.96;99.22;96.54;102.76;100.64;105.72;107.71;109.88;115.2;113.78;109.8;116.52;110.21;116.28;118.09;117.58;119.34;120.73;119.29;114.31;118.95;122.8;118.6;120.4;115.58;96.47;120.29;125.7;116.53;110.77;120.97;109.86;115.49;111.82;113.22;115.11;125.37;123.72;132.55;134.97;139.53;132.05;126.21;135.55;131.66;136.68;133.49;129.97;132.85
dji;sugar_per_person_g_per_day;98.14;85.54;97.3;71.69;93.22;79.29;101.96;91.81;68.51;90.44;90.22;95.86;109.47;106.57;100.13;104.04;105.08;98.33;81.46;86.53;85.17;91.94;88.35;84.04;87.74;91.48;84.85;85.63;85.63;83.43;81.66;81.13;79.15;79.75;81.08;75.86;74.96;76.22;73.37;73.16;72.22;73.5;74.59;73.09;73.45;74.72;79.42;82.14;80.57;83.38;84.69;90.61;92.98
dma;sugar_per_person_g_per_day;95.19;89.82;89.81;93.07;93.92;113.95;114.99;117.2;119.76;121.79;119.76;115.45;88.96;99.79;107.58;110.67;96.24;102.5;42.5;78.45;82.39;96.54;99.72;105.54;109.67;115.71;124.13;125.73;127.62;131.73;128.62;127.32;131.63;134.01;125.05;117.87;121.99;121.51;116.73;118.19;116.06;116.02;117.88;124.05;120.99;125.45;126.36;125.72;122.6;121.73;117.12;115.59;113.37
dnk;sugar_per_person_g_per_day;140.82;146.6;143.63;140.23;145.49;146.54;146.12;142.43;144.05;149.12;145.22;140.76;150.22;148.72;139.07;146.81;125.82;131.9;126.16;130.08;130.6;134.18;133.93;125.08;125.87;124.27;126.42;120.75;116.2;122.27;131.48;134.69;141.45;142.3;138.01;132.3;146.2;138.56;135.73;147.07;142.39;157.86;158.12;158.6;139.11;147.84;171.75;146.57;143.55;146.8;145.96;151.92;151.91
dom;sugar_per_person_g_per_day;63.51;88.32;87.85;81.19;72.16;78.15;73.62;87.46;84.07;76.46;81.35;84.32;95.91;94.53;89.04;87.55;90.41;91.95;93.5;100.04;96.44;100.81;106.2;111.17;127.91;121.04;111.13;90.53;94.3;76.12;93.22;101.51;109.35;109.86;109.17;108.13;105.42;97.91;99.69;96.11;111.44;111.14;106.02;105.94;107.84;102.44;104.7;103.4;95.75;90.12;87.56;91.42;95.35
dza;sugar_per_person_g_per_day;44.98;46.97;45.25;46.69;43.69;45.07;47.28;48.06;45.77;41.11;50.43;47.97;45.37;48.74;59.96;64.31;69.14;69.34;79.6;80.38;79.25;73.33;79.4;79.03;78.68;82.85;89.91;76.17;81.76;79.24;76.11;72.09;74.32;71.15;70.59;71.9;76.33;52.39;58.92;78.63;77.44;80.48;82.84;84.33;75.51;77.88;86.74;78.45;85.29;85.59;74.91;82.83;78.22
ecu;sugar_per_person_g_per_day;72.57;77.42;77.17;79.94;81.75;84.52;83.15;85.49;89.0;91.53;94.14;106.25;104.89;108.88;113.07;113.53;118.75;123.89;130.6;131.67;109.62;106.76;105.61;101.68;101.93;106.82;87.25;85.09;82.89;75.73;75.39;77.24;73.01;73.78;70.31;57.66;56.02;56.97;53.35;52.03;50.09;48.98;50.75;49.49;49.72;56.17;49.57;54.24;52.25;49.01;54.71;58.44;63.31
