geo;indicator;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013
nor;sugar_per_person_g_per_day;124.46;127.32;125.02;123.29;132.96;130.83;133.37;136.63;119.81;122.43;121.95;121.3;114.08;94.71;78.84;110.31;112.92;118.32;121.37;115.86;114.73;107.51;106.7;112.74;116.0;113.15;114.05;102.07;111.32;113.08;115.02;118.42;119.62;121.1;121.17;119.88;125.61;124.84;126.82;125.68;122.5;121.38;117.47;111.69;103.55;100.59;102.72;105.18;103.01;104.73;110.3;114.32;120.36
npl;sugar_per_person_g_per_day;2.69;2.79;2.94;3.09;3.4;3.71;2.64;3.02;4.0;4.37;3.38;3.43;5.56;4.12;4.64;3.48;4.77;6.97;5.84;2.11;6.92;5.73;4.71;6.03;8.42;12.08;8.09;9.98;8.51;9.88;10.7;11.22;12.93;7.09;9.73;10.83;13.6;12.17;13.5;14.24;13.61;13.26;13.67;13.8;12.9;13.81;13.93;12.72;12.52;11.78;11.92;12.54;12.98
nzl;sugar_per_person_g_per_day;134.65;138.98;136.25;121.21;135.54;139.74;136.52;126.31;135.44;136.82;132.46;132.45;132.69;140.8;123.06;135.36;127.54;139.72;137.91;126.37;125.08;135.14;120.98;128.34;130.41;145.51;152.94;145.09;141.91;142.33;141.75;140.86;135.23;143.5;126.79;137.15;143.86;145.05;148.2;157.22;163.83;166.04;170.4;164.82;168.59;161.65;164.57;170.88;165.1;155.73;159.26;157.74;162.11
omn;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;67.38;68.82;70.03;67.19;66.81;65.79;72.68;73.14;69.26;58.25;74.32;76.65;78.03;77.66;86.43;92.91;87.53;93.4;96.45;96.57;95.24;96.31;96.23;98.77
pak;sugar_per_person_g_per_day;56.17;67.38;83.04;72.6;80.89;89.8;91.15;84.3;95.06;93.86;85.48;80.72;79.82;82.2;77.29;80.46;93.22;90.45;91.51;87.77;90.44;86.63;81.81;85.53;78.31;84.58;92.34;76.66;85.34;79.41;77.77;74.9;75.92;76.87;82.59;83.58;79.41;71.0;70.82;77.57;80.11;73.99;71.14;78.34;82.35;82.76;81.6;79.66;75.59;81.61;71.59;76.25;76.03
pan;sugar_per_person_g_per_day;79.44;67.38;83.09;82.4;94.66;74.87;77.64;83.03;78.99;80.79;88.18;94.64;99.52;93.33;80.28;83.49;92.98;96.61;94.83;102.09;108.35;106.76;102.07;103.81;104.05;100.42;98.29;98.1;92.34;86.65;95.36;84.67;92.1;97.89;77.16;79.1;82.91;87.93;80.08;74.62;70.72;78.03;77.81;78.11;78.22;79.83;83.34;81.91;81.79;84.77;87.86;91.31;95.34
per;sugar_per_person_g_per_day;78.07;79.86;82.69;81.24;88.16;83.3;81.66;79.97;80.47;87.34;90.15;96.64;97.06;100.55;102.77;109.47;98.24;96.04;93.87;75.42;98.88;66.2;90.09;72.06;88.12;93.21;95.89;98.6;82.27;69.98;73.71;67.71;58.11;49.6;39.99;43.22;42.44;51.04;48.95;47.28;52.07;55.77;57.24;56.6;61.9;58.62;58.53;62.55;62.01;62.0;63.32;64.05;62.93
phl;sugar_per_person_g_per_day;38.74;37.4;44.83;44.8;47.14;48.2;54.47;56.31;54.54;50.18;53.11;55.43;58.08;66.79;60.67;58.21;64.44;70.45;71.31;71.64;65.38;60.09;65.83;67.82;69.05;59.54;72.34;60.91;71.84;74.75;71.24;73.83;76.4;78.97;76.63;85.81;77.88;75.23;75.88;78.6;73.04;74.51;76.28;75.91;70.14;67.46;68.16;70.6;62.73;63.33;65.69;68.11;64.56
pol;sugar_per_person_g_per_day;89.15;87.94;94.15;91.97;95.5;99.69;103.57;109.25;112.57;114.06;115.37;119.09;121.28;128.42;126.16;128.41;121.47;125.0;128.13;123.33;99.51;124.16;134.1;134.1;123.11;122.37;137.45;137.88;139.87;131.58;105.71;108.62;123.57;117.51;113.15;117.9;119.14;120.1;118.83;124.61;125.91;125.85;126.14;122.96;119.44;118.56;119.38;115.22;119.28;119.2;119.6;122.01;121.61
prk;sugar_per_person_g_per_day;3.52;3.3;4.54;4.71;4.69;4.54;18.89;26.74;31.93;34.7;34.72;32.16;28.44;22.76;21.04;21.53;22.74;24.24;17.36;18.0;17.07;18.3;16.37;16.11;15.86;13.91;14.6;13.29;12.12;11.21;12.69;11.43;13.08;9.64;6.42;5.95;5.89;4.71;6.71;7.31;7.93;7.5;8.51;8.33;6.42;7.36;13.43;15.49;13.48;12.91;11.36;10.82;10.77
prt;sugar_per_person_g_per_day;51.64;51.13;49.29;49.83;50.83;58.62;59.83;66.67;73.82;74.58;75.15;74.95;76.77;75.92;77.43;69.91;71.66;72.07;73.32;74.8;74.8;74.84;70.99;68.57;70.74;75.54;75.47;77.3;82.45;75.73;84.08;83.0;86.12;86.63;79.56;86.67;85.66;86.59;89.52;89.56;88.96;88.26;89.83;84.37;84.11;81.67;78.97;82.63;79.45;80.45;77.78;77.63;78.01
pry;sugar_per_person_g_per_day;38.14;41.92;43.08;50.09;54.07;58.84;43.65;48.15;49.98;55.19;52.48;55.47;57.72;56.72;50.12;57.22;58.8;59.82;58.14;59.23;60.79;62.11;62.74;61.03;64.26;80.04;62.86;66.17;64.9;60.15;60.68;62.34;66.28;69.11;69.61;68.59;66.92;66.84;73.27;67.89;67.48;68.08;71.18;68.59;69.66;69.47;68.58;70.04;70.56;70.66;71.55;70.7;69.56
pyf;sugar_per_person_g_per_day;94.95;98.21;100.4;97.79;84.82;75.17;86.32;84.98;96.93;101.16;81.9;96.71;92.73;105.76;102.59;98.82;94.54;90.08;72.99;78.7;73.72;83.92;86.2;80.37;80.43;77.69;80.04;83.99;89.01;75.05;80.61;82.18;76.04;77.87;79.03;90.4;93.93;80.32;77.34;72.82;76.3;65.57;67.15;66.26;64.65;74.6;63.78;69.46;69.75;70.46;67.48;65.22;66.5
rou;sugar_per_person_g_per_day;29.92;33.15;37.11;40.87;45.98;48.76;45.89;52.44;56.29;58.18;59.52;61.15;61.38;61.75;61.42;76.12;76.79;80.27;83.13;85.58;73.4;74.96;77.31;78.92;76.21;69.67;66.92;68.64;70.01;69.77;70.55;73.32;71.24;73.17;70.34;73.94;58.9;61.27;61.98;69.41;72.49;70.86;73.79;76.76;77.52;84.99;74.85;67.05;69.5;69.17;68.2;69.02;70.11
rus;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;92.91;96.91;96.18;99.35;103.27;103.66;107.87;111.86;112.27;114.28;120.34;121.77;127.0;132.51;138.14;139.67;139.06;131.99;129.29;134.04;133.92;134.29
rwa;sugar_per_person_g_per_day;0.0;0.0;0.09;0.44;0.83;1.68;2.72;3.76;3.4;2.63;1.39;1.07;1.0;1.41;1.24;1.71;1.67;2.39;3.75;5.29;5.14;4.73;4.22;5.55;4.9;4.72;4.99;5.47;5.48;4.61;4.68;4.72;5.35;4.89;4.61;5.14;9.94;9.65;7.18;3.97;7.64;6.02;5.48;3.29;5.21;8.2;10.01;8.79;11.88;14.93;14.31;18.9;14.09
sau;sugar_per_person_g_per_day;18.22;17.85;27.31;29.95;32.35;33.08;32.84;37.12;40.85;45.49;47.25;51.11;35.11;39.17;44.56;45.3;30.97;46.89;61.38;112.53;114.53;104.59;87.27;82.97;75.26;71.46;74.82;76.25;75.89;74.32;75.23;77.69;75.97;74.49;77.01;78.68;79.9;79.41;81.61;83.96;84.63;84.22;85.59;84.59;88.62;89.43;87.85;88.76;92.2;90.73;88.78;87.99;86.84
scg;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58.58;57.21;62.87;55.2;62.98;72.42;59.16;68.94;64.94;67.61;66.81;84.39;79.71;92.62;;;;;;;;
sdn;sugar_per_person_g_per_day;33.79;33.9;33.33;33.4;35.14;37.18;38.69;40.09;42.89;46.2;50.33;49.41;49.83;49.15;42.86;45.89;49.14;50.53;51.47;55.83;51.23;56.17;57.68;54.0;54.81;55.23;56.93;53.28;49.55;46.43;44.38;40.41;39.65;39.09;38.09;37.03;32.03;36.61;37.11;42.95;45.48;52.63;53.68;58.15;65.34;66.39;63.45;63.77;65.85;65.49;67.37;96.37;96.14
sen;sugar_per_person_g_per_day;54.6;56.54;55.63;58.13;54.11;51.61;44.02;44.87;40.24;48.23;50.65;54.11;49.94;39.44;46.39;50.87;50.21;40.43;49.04;41.21;46.22;48.8;44.04;46.58;29.59;34.04;31.95;27.84;33.18;44.48;42.2;37.14;37.16;47.89;49.31;48.49;52.59;41.91;39.97;32.18;41.02;35.8;35.91;31.34;32.78;43.92;42.94;37.81;41.95;43.57;43.96;46.13;49.99
slb;sugar_per_person_g_per_day;17.68;17.14;14.63;16.5;18.12;22.06;21.51;22.74;22.96;21.89;26.52;22.06;22.39;23.82;15.6;18.3;22.22;22.93;28.47;22.28;23.21;21.13;24.94;30.22;24.08;29.59;28.39;27.51;23.4;27.23;18.92;22.15;24.12;26.43;17.61;23.33;23.26;22.41;23.46;17.86;17.93;19.48;22.58;23.05;28.35;36.91;22.37;36.47;29.16;35.79;24.07;15.51;13.14
sle;sugar_per_person_g_per_day;22.76;23.13;20.92;20.03;23.89;25.67;25.42;24.85;27.72;27.1;28.33;27.26;25.15;19.38;18.38;20.17;19.44;19.69;22.11;19.13;18.36;20.05;16.11;14.83;15.8;13.52;14.22;15.38;13.57;13.38;14.12;14.35;14.5;14.07;12.19;10.44;9.5;14.68;14.14;14.14;13.53;13.77;15.66;14.95;14.64;18.46;18.35;18.28;18.26;10.39;15.59;14.6;16.5
slv;sugar_per_person_g_per_day;58.79;58.21;63.84;58.25;72.16;68.54;72.84;72.58;72.34;71.02;74.44;78.14;79.93;80.98;86.37;97.71;94.79;100.36;96.61;100.83;98.35;103.59;101.12;96.63;96.64;95.85;98.24;105.71;100.23;99.4;102.55;100.45;102.14;92.66;97.77;106.04;115.34;117.97;115.56;115.11;111.88;108.38;105.0;103.49;109.34;115.84;113.22;112.05;111.6;108.25;112.36;112.93;112.62
srb;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;84.72;87.83;70.43;84.71;66.69;79.19;75.63;77.1
stp;sugar_per_person_g_per_day;36.96;37.54;37.54;38.98;34.83;39.0;38.53;38.59;35.15;41.3;41.22;44.3;47.55;35.13;27.61;42.49;48.25;48.4;45.27;41.18;31.12;30.5;31.37;29.6;34.18;31.0;30.43;30.6;32.73;43.78;42.68;41.53;42.0;44.38;42.6;45.52;39.04;36.74;38.94;42.57;48.55;53.18;52.13;56.93;56.91;58.51;59.56;59.23;60.48;62.12;62.53;35.81;50.52
sur;sugar_per_person_g_per_day;79.73;82.55;82.42;79.13;85.66;90.22;95.58;86.55;91.02;90.23;89.76;86.7;87.09;87.52;87.8;78.63;77.18;99.3;107.17;122.48;90.79;95.4;106.73;100.11;98.7;97.24;86.08;90.47;98.89;98.93;99.97;101.2;99.2;103.54;109.24;132.99;131.23;133.87;122.42;125.41;126.31;131.16;132.61;125.98;130.51;129.38;131.58;128.42;127.91;124.09;122.22;121.39;121.18
svk;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;94.34;97.59;116.7;117.06;118.34;110.65;99.2;99.6;89.61;87.26;86.15;107.94;130.83;121.17;111.24;139.91;142.52;143.87;132.92;121.95;136.13
svn;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;42.12;54.87;46.92;53.39;52.54;58.22;58.65;54.89;57.84;54.98;55.16;55.59;62.23;65.28;62.88;65.71;66.06;67.09;71.6;70.42;73.92;75.07
swe;sugar_per_person_g_per_day;126.59;123.15;117.51;119.23;126.25;128.2;126.37;121.74;121.55;124.87;129.95;131.13;129.68;125.66;126.88;126.59;118.15;116.51;122.13;122.66;121.75;123.21;128.39;128.69;125.5;119.52;115.67;118.89;119.12;118.2;118.92;121.12;125.82;133.57;117.35;122.55;119.61;126.15;127.7;128.74;122.68;115.24;114.69;113.23;114.83;112.84;114.07;111.38;110.93;105.94;110.0;110.0;115.24
swz;sugar_per_person_g_per_day;78.06;78.6;80.58;78.69;83.87;87.45;93.32;74.66;77.02;81.7;82.37;80.68;87.2;89.5;102.28;99.21;112.08;126.07;103.48;114.27;130.86;147.38;141.95;139.85;139.63;142.16;136.88;135.25;131.59;106.27;107.1;112.31;104.51;104.28;95.05;98.22;81.52;96.4;112.11;106.06;103.82;108.43;99.11;78.17;73.14;97.44;86.33;86.11;82.24;91.56;89.37;87.57;95.29
tcd;sugar_per_person_g_per_day;13.98;16.36;18.77;18.69;17.76;17.95;20.2;17.81;15.94;20.23;16.91;21.56;19.57;17.4;16.66;18.16;17.32;16.97;17.86;12.93;12.16;13.94;16.58;13.06;24.18;17.65;12.67;13.37;19.3;24.02;15.47;14.78;16.92;15.69;18.47;24.13;18.16;22.23;17.23;20.19;19.47;20.57;19.6;23.09;25.09;25.18;24.91;22.42;21.26;25.29;27.92;30.46;29.05
tgo;sugar_per_person_g_per_day;6.03;11.52;7.0;7.8;5.65;13.06;13.74;17.52;12.47;10.96;6.58;9.73;8.94;4.14;2.9;3.31;17.03;11.03;20.01;19.55;14.41;29.76;19.46;26.31;27.78;29.85;15.53;17.02;16.46;12.12;11.56;10.2;5.47;4.42;7.57;11.81;9.01;11.02;11.16;7.76;7.85;12.85;15.03;16.07;15.49;18.01;21.59;23.82;27.86;30.47;33.09;33.68;33.25
tha;sugar_per_person_g_per_day;10.91;11.84;12.33;11.57;21.06;18.16;20.76;18.03;22.57;23.45;28.33;24.06;27.91;33.56;34.07;33.85;35.84;36.99;37.88;31.95;35.61;35.24;36.55;39.55;38.56;38.95;45.37;44.92;49.03;52.02;49.85;59.69;62.42;66.78;74.75;77.17;79.14;83.26;78.68;79.71;82.86;84.75;87.18;91.6;88.19;104.36;101.31;104.19;105.17;107.72;110.97;107.89;109.42
tjk;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30.6;29.8;32.47;36.18;39.27;40.59;35.58;35.18;40.42;31.87;35.72;36.96;37.79;38.68;45.06;44.67;47.75;50.26;49.71;51.56;50.59;51.94
tkm;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;62.37;45.82;42.2;40.81;46.83;43.46;44.53;36.6;30.57;28.85;28.03;26.55;25.21;24.85;25.11;23.07;24.67;22.14;22.8;25.63;26.62;24.56
tls;sugar_per_person_g_per_day;1.83;2.38;1.56;1.68;2.86;5.3;7.35;5.72;8.56;5.82;6.88;7.44;8.49;6.0;3.72;4.98;4.69;6.82;9.6;7.21;9.74;9.55;9.24;8.92;10.89;12.83;12.52;12.24;9.92;9.57;9.36;9.31;8.85;10.37;10.35;10.51;10.65;10.5;10.77;12.57;17.41;15.85;16.19;17.95;13.54;19.83;21.36;25.64;27.26;27.21;30.87;37.87;34.96
tto;sugar_per_person_g_per_day;101.96;107.4;112.69;105.59;112.56;125.32;123.25;124.98;121.07;118.27;123.26;118.11;128.3;125.66;121.4;125.36;121.61;126.64;140.12;157.02;151.63;140.0;143.58;145.5;139.25;150.12;155.92;157.96;141.98;147.41;142.74;131.92;136.29;147.09;160.61;169.41;180.25;166.97;165.71;180.05;181.93;161.92;163.04;171.96;170.12;173.95;172.19;171.32;171.2;156.84;156.62;160.73;161.67
tun;sugar_per_person_g_per_day;66.71;66.86;65.47;65.78;49.13;46.32;59.07;57.09;53.18;59.06;60.04;67.41;56.94;70.61;62.27;69.27;73.02;72.03;71.04;73.69;76.78;74.58;75.09;73.25;71.48;72.3;73.38;77.4;75.69;77.8;78.27;85.89;82.3;80.49;79.42;83.18;82.52;82.76;84.18;78.91;78.42;87.43;97.75;96.31;92.69;95.99;96.18;95.35;98.92;95.3;98.31;95.69;95.52
tur;sugar_per_person_g_per_day;19.4;27.08;41.08;42.58;45.04;47.87;47.56;47.04;52.24;53.33;55.59;60.3;68.07;65.48;67.02;71.35;77.88;78.53;81.3;69.97;69.96;81.27;79.52;83.3;77.0;83.03;90.65;82.88;86.37;89.24;88.73;88.16;88.98;84.8;83.71;86.68;92.91;92.24;81.16;84.2;84.91;76.2;72.43;77.86;80.32;88.01;77.97;84.23;88.39;90.49;85.42;86.25;87.33
twn;sugar_per_person_g_per_day;40.73;38.19;35.58;36.36;42.13;46.57;33.62;43.73;46.36;41.96;43.84;43.64;64.88;66.78;63.99;73.26;80.48;84.14;83.7;80.6;78.1;77.92;81.1;73.54;73.8;80.51;80.58;82.89;83.0;83.92;85.82;77.09;77.24;75.07;74.46;73.45;71.77;74.17;74.5;71.08;69.49;73.73;72.41;72.49;77.6;76.89;81.25;78.99;73.61;78.85;77.96;77.08;81.16
tza;sugar_per_person_g_per_day;18.97;21.11;18.88;19.34;19.41;20.35;20.31;21.19;21.66;24.76;27.83;30.25;29.11;23.34;17.91;19.08;19.18;22.74;18.23;19.05;17.4;17.48;16.95;17.58;17.45;16.93;13.59;12.79;12.9;12.26;16.98;17.83;16.77;15.43;17.06;22.34;20.12;18.81;22.04;22.04;21.81;21.47;24.45;24.11;26.69;26.26;27.19;26.25;26.84;28.56;29.33;29.81;27.96
uga;sugar_per_person_g_per_day;29.64;30.97;33.07;32.44;38.78;44.32;39.38;42.94;36.9;36.3;41.3;34.43;24.37;13.64;8.27;6.26;4.91;5.67;6.6;6.79;5.19;5.48;5.3;4.48;4.58;6.61;11.01;6.28;8.02;8.6;9.87;11.02;10.77;15.38;18.37;17.24;19.61;19.24;19.47;22.66;21.46;22.93;24.09;26.85;25.1;25.85;25.68;26.83;29.35;28.94;25.94;25.29;32.39
ukr;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;143.83;124.02;106.26;102.07;104.74;99.29;101.59;106.5;120.05;129.85;122.32;123.57;131.17;135.4;141.99;143.66;143.65;131.5;129.49;132.9;131.25;126.32
ury;sugar_per_person_g_per_day;105.54;110.13;99.93;107.32;106.89;105.99;99.37;93.89;104.88;105.86;95.97;105.12;96.23;110.63;99.55;111.07;89.66;90.95;106.77;95.46;99.33;92.55;86.61;88.68;88.29;75.31;76.11;72.02;64.96;69.15;90.36;97.15;92.75;90.46;90.61;91.4;97.27;104.98;96.54;89.27;76.27;99.76;99.13;97.27;97.42;97.99;97.64;100.28;103.8;105.98;108.69;110.83;111.3
usa;sugar_per_person_g_per_day;142.62;143.92;140.74;145.25;147.34;147.18;150.17;151.45;155.18;156.1;158.67;161.28;161.9;157.21;151.85;159.74;163.28;160.16;161.72;157.51;156.1;154.41;155.87;158.89;160.3;161.71;166.88;168.59;168.32;173.28;174.78;177.37;180.6;183.23;182.55;185.99;192.63;194.43;187.94;189.39;186.31;193.4;191.89;194.15;192.85;187.25;174.9;169.61;164.9;166.57;171.66;174.05;174.67
ussr;sugar_per_person_g_per_day;87.39;91.33;94.17;98.57;104.03;107.74;111.66;114.0;114.6;117.9;119.8;117.61;123.9;122.72;123.63;126.8;128.51;129.39;127.12;134.08;134.34;134.43;133.58;133.85;127.52;132.82;142.49;141.41;128.12;135.15;99.34;;;;;;;;;;;;;;;;;;;;;;
uzb;sugar_per_person_g_per_day;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35.16;36.52;27.72;30.28;42.18;39.52;54.06;45.33;41.78;27.13;18.58;12.32;13.15;22.64;34.2;56.12;33.38;28.56;28.34;27.95;27.66;27.62
vct;sugar_per_person_g_per_day;85.18;100.66;88.92;106.08;101.82;102.34;104.64;106.56;108.58;114.55;119.6;116.18;107.54;89.2;125.27;130.07;113.89;105.45;106.87;111.19;114.44;117.1;116.44;115.72;114.86;117.12;117.61;115.91;115.87;116.11;118.7;123.09;122.04;119.32;115.17;113.08;118.73;119.14;121.47;127.66;127.81;124.31;122.17;121.93;121.97;124.51;123.05;123.52;123.27;117.73;121.7;120.17;120.6
ven;sugar_per_person_g_per_day;98.68;94.51;89.15;103.75;106.51;102.7;102.38;102.59;108.02;108.3;114.06;110.23;118.17;118.78;118.86;123.19;124.99;128.57;136.5;125.82;125.83;109.86;115.17;113.46;109.53;115.05;114.81;122.01;99.38;104.76;95.79;106.86;105.02;107.97;109.4;109.61;105.45;102.58;101.43;103.51;102.39;91.81;94.42;104.57;105.46;107.72;107.4;103.87;105.64;106.64;108.48;106.46;105.71
vnm;sugar_per_person_g_per_day;11.71;12.14;12.96;13.04;18.25;16.7;21.04;21.21;25.01;25.06;25.0;24.34;26.28;21.34;19.37;19.47;15.95;14.57;17.97;16.15;17.72;15.33;18.66;19.97;21.13;17.59;18.49;15.59;18.57;13.8;15.8;15.08;16.65;21.35;23.66;23.35;24.99;25.31;30.3;35.72;34.44;33.44;34.94;37.86;31.99;35.85;31.69;31.54;26.8;28.72;27.16;29.17;27.36
vut;sugar_per_person_g_per_day;36.76;44.54;34.79;33.47;40.02;37.32;44.86;43.86;47.67;48.32;53.43;46.65;47.72;44.42;30.75;30.85;31.99;60.93;51.44;37.96;31.67;30.59;38.06;38.17;43.81;34.99;30.48;36.79;28.73;26.73;27.65;31.77;25.28;30.49;34.34;42.95;41.86;41.1;41.24;41.68;40.94;42.68;42.47;43.51;42.63;39.13;50.97;52.76;54.33;54.66;55.45;49.75;51.39
wsm;sugar_per_person_g_per_day;56.31;65.69;62.16;61.14;69.54;67.76;63.85;69.29;71.37;75.9;71.24;74.24;61.35;67.61;67.47;67.79;66.49;67.25;66.75;67.46;73.2;64.85;67.49;58.01;65.28;63.75;63.0;61.03;66.89;60.4;75.5;61.74;67.95;64.77;61.34;65.68;59.95;65.33;71.0;71.14;69.73;68.7;71.39;80.28;84.7;85.2;85.24;101.56;77.61;79.19;82.88;80.98;89.52
yem;sugar_per_person_g_per_day;28.9;31.33;28.03;28.09;39.35;41.95;42.55;48.95;45.23;46.7;39.13;38.58;38.42;36.05;38.13;38.56;45.76;48.34;48.84;50.51;49.83;51.83;59.16;66.8;66.02;65.72;76.48;78.8;60.05;59.29;56.54;57.23;56.38;56.24;55.13;63.24;65.71;65.53;63.35;64.79;65.86;66.77;70.33;69.52;70.0;73.07;74.27;73.61;74.72;78.57;81.43;79.77;77.93
yug;sugar_per_person_g_per_day;54.48;52.09;57.5;62.54;74.74;76.94;78.01;76.69;79.42;84.3;85.73;87.09;87.97;98.52;98.7;100.19;99.66;98.11;94.43;107.09;106.43;104.85;101.95;98.59;109.08;110.18;109.63;108.54;120.37;119.71;97.26;;;;;;;;;;;;;;;;;;;;;;
zaf;sugar_per_person_g_per_day;107.97;107.55;117.72;118.96;114.56;109.25;102.45;104.82;105.17;108.33;110.2;111.79;117.66;123.25;127.32;126.96;113.97;110.16;111.12;111.44;111.61;108.47;106.49;107.95;110.02;107.98;106.22;105.57;104.23;100.46;97.91;95.41;93.52;92.96;90.93;90.17;90.18;90.38;89.33;87.96;85.98;84.53;87.25;84.26;84.16;85.8;84.05;82.3;83.16;96.45;95.76;98.69;101.2
zmb;sugar_per_person_g_per_day;17.35;16.72;16.84;17.19;17.85;19.42;26.97;32.56;34.47;38.6;43.15;41.72;43.72;40.12;44.32;41.92;39.82;36.76;43.06;50.65;50.74;51.6;48.94;48.28;47.35;43.17;48.43;46.01;46.02;46.53;45.69;45.12;44.5;40.56;41.05;35.07;40.41;31.39;31.03;44.23;31.17;34.83;32.82;31.88;29.98;31.21;27.03;26.4;28.48;28.0;28.44;30.06;28.13
zwe;sugar_per_person_g_per_day;27.55;32.66;35.31;33.94;40.39;42.33;47.32;45.68;46.86;47.58;50.44;45.31;52.85;53.05;56.73;56.8;50.66;43.24;48.55;48.22;55.3;63.55;65.11;62.51;62.54;62.94;60.24;60.54;59.76;57.46;55.87;57.04;56.43;56.64;61.65;64.69;73.46;73.56;74.6;76.53;81.49;83.42;75.01;72.36;67.54;73.09;64.86;61.08;61.08;65.85;68.88;79.04;80.59
