geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
cyp;residential_electricity_use_total;;;;;;;;;;;;154000000.0;178000000.0;197000000.0;177000000.0;136000000.0;140000000.0;157000000.0;172000000.0;175000000.0;183000000.0;192000000.0;206000000.0;228000000.0;234000000.0;254000000.0;270000000.0;312100000.0;362100000.0;407100000.0;449100000.0;472100000.0;587100000.0;651100000.0;675100000.0;759100000.0;824100000.0;834200000.0;904200000.0;952200000.0;1055000000.0;1042000000.0;1157000000.0;1295000000.0;1316000000.0;1433000000.0;1500000000.0;1608000000.0;1683000000.0
cze;residential_electricity_use_total;;;;;;;;;;;;3235000000.0;3625000000.0;3925000000.0;4229000000.0;4611000000.0;5037000000.0;5332000000.0;5876000000.0;5884000000.0;6175000000.0;6367000000.0;6639000000.0;7001000000.0;7518000000.0;8007000000.0;8312000000.0;8732000000.0;8873000000.0;9237000000.0;9625000000.0;9875000000.0;10340000000.0;11400000000.0;13190000000.0;14850000000.0;16010000000.0;15510000000.0;14510000000.0;14050000000.0;13820000000.0;14240000000.0;14120000000.0;14510000000.0;14530000000.0;14720000000.0;15200000000.0;14650000000.0;14710000000.0
deu;residential_electricity_use_total;12220000000.0;13880000000.0;16060000000.0;19340000000.0;21160000000.0;23890000000.0;26720000000.0;29460000000.0;33100000000.0;37470000000.0;57900000000.0;64940000000.0;72450000000.0;78570000000.0;83650000000.0;89030000000.0;95850000000.0;100700000000.0;108600000000.0;111700000000.0;115000000000.0;116700000000.0;118300000000.0;121800000000.0;127300000000.0;132600000000.0;134400000000.0;139900000000.0;136200000000.0;136300000000.0;137100000000.0;122200000000.0;122800000000.0;126100000000.0;124600000000.0;127200000000.0;134200000000.0;130800000000.0;130500000000.0;131300000000.0;130500000000.0;134000000000.0;136500000000.0;139100000000.0;140400000000.0;141300000000.0;141500000000.0;140100000000.0;139500000000.0
dnk;residential_electricity_use_total;;;;;;;;;;;;;;6601000000.0;6264000000.0;6571000000.0;6701000000.0;6901000000.0;7271000000.0;7681000000.0;7441000000.0;7373000000.0;7421000000.0;8041000000.0;8464000000.0;9138000000.0;9583000000.0;9967000000.0;9944000000.0;9903000000.0;9672000000.0;10140000000.0;10210000000.0;10330000000.0;10430000000.0;10300000000.0;10600000000.0;10320000000.0;10260000000.0;10290000000.0;10220000000.0;10160000000.0;10190000000.0;10260000000.0;10330000000.0;10450000000.0;10570000000.0;10350000000.0;10330000000.0
dom;residential_electricity_use_total;;;;;;;;;;;;770100000.0;1049000000.0;1128000000.0;1093000000.0;1244000000.0;1198000000.0;1349000000.0;1325000000.0;1582000000.0;1512000000.0;1570000000.0;1198000000.0;1233000000.0;1372000000.0;1687000000.0;1675000000.0;1850000000.0;1872000000.0;1674000000.0;2488000000.0;2722000000.0;2977000000.0;2856000000.0;3010000000.0;2893000000.0;3602000000.0;3632000000.0;3822000000.0;3912000000.0;4281000000.0;2840000000.0;3171000000.0;4440000000.0;4541000000.0;4218000000.0;4169000000.0;4365000000.0;4328000000.0
dza;residential_electricity_use_total;;;;;;;;;;;;387100000.0;436100000.0;511100000.0;575100000.0;635100000.0;755100000.0;835200000.0;974200000.0;1089000000.0;1061000000.0;1161000000.0;1486000000.0;1643000000.0;2040000000.0;2297000000.0;3819000000.0;4195000000.0;4602000000.0;5232000000.0;6057000000.0;6423000000.0;7120000000.0;7126000000.0;7609000000.0;7967000000.0;8440000000.0;8543000000.0;9588000000.0;10570000000.0;11330000000.0;12040000000.0;12820000000.0;14320000000.0;14950000000.0;17330000000.0;16600000000.0;17720000000.0;19920000000.0
ecu;residential_electricity_use_total;;;;;;;;;;;;304100000.0;341100000.0;356100000.0;400100000.0;550100000.0;600100000.0;700100000.0;800100000.0;884200000.0;1035000000.0;1116000000.0;1209000000.0;1337000000.0;1337000000.0;1395000000.0;1419000000.0;1663000000.0;1686000000.0;1721000000.0;1870000000.0;2016000000.0;2136000000.0;2200000000.0;2427000000.0;2573000000.0;2895000000.0;3250000000.0;3403000000.0;2945000000.0;2795000000.0;2898000000.0;3096000000.0;3331000000.0;3534000000.0;3702000000.0;3896000000.0;4104000000.0;4385000000.0
egy;residential_electricity_use_total;;;;;;;;;;;;2030000000.0;2045000000.0;2055000000.0;2355000000.0;2670000000.0;3019000000.0;3508000000.0;3661000000.0;4026000000.0;4561000000.0;5086000000.0;5485000000.0;6817000000.0;7764000000.0;8852000000.0;9806000000.0;10830000000.0;11440000000.0;12360000000.0;13350000000.0;14150000000.0;14420000000.0;15170000000.0;15950000000.0;16830000000.0;17110000000.0;17920000000.0;19900000000.0;21820000000.0;23550000000.0;25680000000.0;27720000000.0;29830000000.0;31320000000.0;33910000000.0;36600000000.0;40280000000.0;43820000000.0
eri;residential_electricity_use_total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;36010000.0;31010000.0;32010000.0;36010000.0;42010000.0;49010000.0;57010000.0;61010000.0;61010000.0;69010000.0;78010000.0;85020000.0;92020000.0;98020000.0;94020000.0;100000000.0;102000000.0
esp;residential_electricity_use_total;1965000000.0;2317000000.0;2408000000.0;2902000000.0;2924000000.0;3291000000.0;4135000000.0;5397000000.0;6386000000.0;7565000000.0;8878000000.0;9112000000.0;10070000000.0;10850000000.0;11390000000.0;12410000000.0;14110000000.0;14410000000.0;15990000000.0;17730000000.0;19570000000.0;20380000000.0;20300000000.0;21820000000.0;23470000000.0;23260000000.0;24890000000.0;26560000000.0;27080000000.0;29530000000.0;30220000000.0;30900000000.0;31410000000.0;32370000000.0;34780000000.0;35990000000.0;37520000000.0;40110000000.0;41710000000.0;45450000000.0;43630000000.0;49690000000.0;50650000000.0;54240000000.0;58060000000.0;62600000000.0;70750000000.0;71340000000.0;72050000000.0
est;residential_electricity_use_total;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;929200000.0;1130000000.0;1230000000.0;1095000000.0;1270000000.0;1067000000.0;1234000000.0;1205000000.0;1349000000.0;1363000000.0;1466000000.0;1585000000.0;1584000000.0;1594000000.0;1618000000.0;1620000000.0;1675000000.0;1773000000.0;1845000000.0
