geo;indicator;2004;2005;2006;2007
mng;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mnp;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
moz;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mrt;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
msr;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mtq;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mus;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mwi;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
mys;dollar_billionaires_per_million_people;0.2126;0.2505;0.3281;0.3626
myt;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
nam;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
ncl;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
ner;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
nfk;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
nga;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
ngokar;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
nic;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
niu;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
nld;dollar_billionaires_per_million_people;0.2451;0.2438;0.2425;0.2414
nor;dollar_billionaires_per_million_people;0.8744;0.8709;0.8675;0.8643
npl;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
nru;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
nzl;dollar_billionaires_per_million_people;0.0;0.0;0.4907;0.7289
omn;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.312
pak;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
pan;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
pcn;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
per;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
phl;dollar_billionaires_per_million_people;0.023190000000000002;0.03415;0.033530000000000004;0.03294
plw;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
png;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
pol;dollar_billionaires_per_million_people;0.0;0.051870000000000006;0.07785;0.1298
pri;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
prk;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
prt;dollar_billionaires_per_million_people;0.19;0.09464;0.09429;0.09396
pry;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
pse;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
pyf;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
qat;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
reu;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
rou;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.04489
rus;dollar_billionaires_per_million_people;0.1736;0.1883;0.2309;0.3723
rwa;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
sau;dollar_billionaires_per_million_people;0.3101;0.265;0.4071;0.47100000000000003
scg;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
scg_ex_kos;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
sdn;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
sen;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
sgp;dollar_billionaires_per_million_people;1.148;0.9038;0.8904;0.8785
shn;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
sjm;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
slb;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
sle;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
slv;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
smr;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
som;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
som_somland;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
sosset;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
spm;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
srb;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.09852000000000001
stbar;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
stmar;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
stp;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
sur;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
svk;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
svn;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
swe;dollar_billionaires_per_million_people;0.8902;0.9998;0.8873;0.8858
swz;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
syc;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
syr;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
tca;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
tcd;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
tgo;dollar_billionaires_per_million_people;0.0;0.0;0.0;0.0
tha;dollar_billionaires_per_million_people;0.03138;0.04674;0.046419999999999996;0.046110000000000005
