geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
chn;self_employed_percent_of_employment;68.218;66.822;64.15899999999999;61.88399999999999;59.6;57.835;56.919;56.394;55.79;54.985;54.167;53.093;51.395;49.288000000000004;47.652;45.966;44.24100000000001;42.486999999999995;41.595;40.229;39.0;38.219;37.635;37.056;36.787;36.376999999999995;36.353;36.283;36.217;36.154;36.093;36.033
civ;self_employed_percent_of_employment;80.105;79.999;79.875;79.197;79.355;79.469;79.094;78.90899999999999;78.51899999999999;78.906;81.117;81.592;82.083;81.218;81.012;81.081;80.95;81.111;80.803;81.127;81.74600000000001;80.861;76.531;76.373;75.846;75.34100000000001;75.325;75.279;75.235;75.2;75.17;75.14
cmr;self_employed_percent_of_employment;85.14;85.508;85.131;85.663;85.45200000000001;85.196;80.815;80.61399999999999;80.449;80.124;79.646;79.407;79.02600000000001;75.601;75.8;75.893;76.3;76.416;76.482;76.335;76.244;75.97399999999999;75.635;75.15100000000001;75.128;75.183;75.421;75.407;75.38600000000001;75.365;75.345;75.32600000000001
cod;self_employed_percent_of_employment;64.457;64.352;64.91;63.718999999999994;63.202;62.17;63.354;63.847;63.11;63.162;62.992;62.386;61.824;60.781000000000006;60.817;60.549;60.172;59.533;59.82899999999999;59.004;58.478;58.083999999999996;57.364;56.725;56.933;57.365;57.306999999999995;57.25;57.184;57.108000000000004;57.026;56.941
cog;self_employed_percent_of_employment;80.77199999999999;80.292;80.081;79.82600000000001;79.80199999999999;78.73;79.156;79.51899999999999;79.01899999999999;78.087;78.148;77.92;77.889;77.069;77.306;77.131;77.37100000000001;76.903;76.917;76.507;76.28;76.235;75.992;75.718;76.083;76.407;76.40100000000001;76.388;76.369;76.327;76.283;76.25399999999999
col;self_employed_percent_of_employment;52.661;52.136;52.518;51.044;50.839;50.623999999999995;50.26;49.975;50.233000000000004;50.86600000000001;50.761;49.919;50.82899999999999;51.151;48.468;42.996;45.151;51.099;52.743;52.91;53.562;52.736000000000004;52.013000000000005;51.138000000000005;50.786;51.007;50.863;50.823;50.735;50.611000000000004;50.472;50.332
com;self_employed_percent_of_employment;73.939;73.262;73.492;73.012;72.562;73.077;72.641;72.571;72.266;71.343;71.138;70.92;70.926;70.917;70.821;70.77600000000001;70.47399999999999;70.408;70.288;70.081;69.945;69.79;69.479;69.335;69.301;69.061;69.01899999999999;68.979;68.938;68.89699999999999;68.859;68.82
cpv;self_employed_percent_of_employment;55.048;54.246;53.263000000000005;51.943000000000005;50.911;50.243;49.12;48.152;47.658;46.858000000000004;46.052;45.391999999999996;45.163000000000004;44.645;43.843999999999994;42.946999999999996;41.88399999999999;41.665;41.968;41.45;41.018;40.897;40.769;40.709;40.514;40.014;39.927;39.85;39.77;39.691;39.613;39.535
cri;self_employed_percent_of_employment;30.435;28.186;28.151999999999997;28.156;28.638;28.795;30.084;29.051;29.049;29.215;31.23;30.658;30.583000000000002;31.261999999999997;28.613000000000003;29.366;27.016;27.177;27.35;23.998;20.97;21.653000000000002;24.026;22.75;22.427;21.788;21.79;21.759;21.729;21.701;21.671999999999997;21.645
cub;self_employed_percent_of_employment;20.274;20.000999999999998;19.608;19.160999999999998;18.929000000000002;18.121;19.136;20.412;22.006;24.825;25.999000000000002;26.225;27.264;27.594;27.34;26.175;25.831;26.061999999999998;20.752;20.955;27.616;29.96;31.843000000000004;34.525;34.506;34.597;34.546;34.508;34.521;34.543;34.564;34.589
cyp;self_employed_percent_of_employment;28.787;27.233;27.119;25.811;25.664;25.254;24.057;24.423000000000002;23.678;24.516;23.958000000000002;23.331999999999997;24.035999999999998;24.018;23.496;21.726;20.570999999999998;20.089000000000002;20.008;18.78;18.206;16.867;17.854;18.171;15.095999999999998;14.447000000000001;14.366;14.203;14.083;13.972999999999999;13.875;13.790999999999999
cze;self_employed_percent_of_employment;11.765999999999998;12.925999999999998;13.267000000000001;14.359000000000002;15.793;16.105999999999998;12.206;13.47;14.523;15.047;15.339;15.917;17.442;16.965;16.038;16.157;16.192;16.136;16.778;17.747;18.076;18.439;17.887;18.018;17.361;17.180999999999997;17.491;17.345;17.296;17.291;17.296;17.291
deu;self_employed_percent_of_employment;9.71;10.07;10.364;10.662;10.752;10.673;10.94;11.009;10.83;10.91;11.167;11.120999999999999;11.4;12.099;12.402999999999999;12.175;12.03;11.692;11.628;11.620999999999999;11.714;11.616;11.235999999999999;10.992;10.786;10.446;10.437999999999999;10.374;10.318;10.277000000000001;10.24;10.209
dji;self_employed_percent_of_employment;48.501000000000005;47.217;47.266000000000005;46.772;47.038999999999994;47.203;46.995;46.766000000000005;46.532;46.552;46.35;46.107;45.84;45.599;45.282;44.825;44.553000000000004;44.3;44.137;43.824;43.175;42.986000000000004;42.763000000000005;42.901;42.235;41.611999999999995;41.492;41.371;41.251000000000005;41.135;41.025;40.919000000000004
dnk;self_employed_percent_of_employment;10.849;10.758;10.783;9.88;9.584;9.377;9.49;9.744;9.325;9.17;8.913;8.926;9.172;8.805;8.919;9.085;9.041;8.873;9.377;9.135;9.145;9.155;9.036;8.906;8.677;9.084;9.154;9.081;9.013;8.948;8.886000000000001;8.832
dom;self_employed_percent_of_employment;41.912;43.948;41.782;39.387;41.231;44.003;45.049;46.271;47.082;43.188;44.618;45.641999999999996;45.312;44.262;46.248000000000005;45.849;45.245;47.667;48.022;48.251999999999995;47.751000000000005;47.092;45.99100000000001;46.071999999999996;44.66;44.402;44.216;44.102;43.903;43.751999999999995;43.611999999999995;43.486000000000004
dza;self_employed_percent_of_employment;40.604;39.703;39.68;39.457;39.201;39.128;39.187;37.803000000000004;37.978;39.311;38.273;35.339;35.096;39.687;34.467;34.351;33.996;33.691;33.719;33.325;32.946999999999996;31.159000000000002;31.055999999999997;30.898000000000003;30.971;30.905;30.936999999999998;30.921;30.903000000000002;30.884;30.864;30.844
ecu;self_employed_percent_of_employment;42.849;45.828;45.302;44.156000000000006;44.042;44.976000000000006;43.099;43.913000000000004;40.589;40.522;40.376;41.585;41.433;41.655;39.802;40.228;45.119;45.769;44.055;44.553000000000004;45.348;45.643;44.379;42.396;44.482;48.273;48.416000000000004;48.482;48.512;48.488;48.376999999999995;48.258
egy;self_employed_percent_of_employment;44.87;45.042;44.222;43.59;42.88399999999999;40.662;40.05;40.255;38.888000000000005;40.065;38.485;39.915;42.111999999999995;43.333999999999996;39.87;38.172;41.431999999999995;40.094;39.397;38.352;38.815;37.493;38.836;39.071;37.32;30.793000000000003;30.711;30.648000000000003;30.586;30.524;30.462;30.4
eri;self_employed_percent_of_employment;58.266999999999996;61.244;55.435;54.992;52.983000000000004;52.147;51.263999999999996;54.466;54.486000000000004;50.117;51.093999999999994;49.647;49.426;49.25899999999999;53.701;54.727;54.148;52.371;49.70399999999999;51.343;49.773;49.763000000000005;50.048;49.43899999999999;49.123000000000005;48.937;48.882;48.824;48.765;48.70399999999999;48.641999999999996;48.57899999999999
esh;self_employed_percent_of_employment;51.163999999999994;50.815;50.58;50.183;49.893;49.821000000000005;49.381;48.823;48.684;48.746;48.251999999999995;48.428000000000004;48.20399999999999;47.638999999999996;47.461999999999996;47.096000000000004;46.533;46.5;45.266000000000005;45.111000000000004;44.24;43.763000000000005;43.318000000000005;42.961000000000006;42.515;41.935;41.895;41.813;41.728;41.641999999999996;41.556999999999995;41.472
esp;self_employed_percent_of_employment;25.44;25.55;25.898000000000003;25.961;25.162;24.772;23.685;22.736;21.459;20.137;19.972;18.893;18.152;18.095;18.053;17.755;17.545;17.613;16.875999999999998;16.732;16.444000000000003;17.358;17.915;17.644000000000002;17.326;16.987000000000002;16.961;16.772000000000002;16.615;16.497;16.395;16.313
est;self_employed_percent_of_employment;11.98;6.987;8.238999999999999;8.624;8.892999999999999;9.46;7.882999999999999;8.875;8.926;8.104;7.38;6.805;8.381;9.798;7.956;8.173;9.187999999999999;7.9;8.385;8.505;8.759;8.899;9.175;9.147;9.377;9.496;9.722000000000001;9.699;9.644;9.637;9.633;9.63
eth;self_employed_percent_of_employment;94.62700000000001;95.1;94.73700000000001;94.20299999999999;92.596;92.28299999999999;92.765;92.26100000000001;91.765;92.973;92.624;92.23;92.166;92.104;92.055;92.01100000000001;91.679;91.665;91.41799999999999;90.568;90.26799999999999;90.463;89.881;89.399;88.961;88.758;88.715;88.654;88.59700000000001;88.541;88.486;88.431
fin;self_employed_percent_of_employment;18.076;18.587;18.965;19.297;15.888;16.623;15.520999999999999;14.638;13.81;13.577;13.029000000000002;12.907;12.802999999999999;12.509;12.693;12.919;12.624;12.849;13.65;13.432;13.404000000000002;13.617;13.477;14.035;14.26;14.065;14.105;14.013;13.935;13.878;13.823;13.773
fji;self_employed_percent_of_employment;42.665;42.411;41.955;41.248999999999995;41.518;41.163000000000004;41.898;42.466;41.57;41.888000000000005;42.306999999999995;41.91;40.783;40.025999999999996;40.705999999999996;41.038999999999994;41.597;41.882;42.317;42.318000000000005;42.00899999999999;41.729;40.903;40.889;40.075;39.760999999999996;39.806;39.748000000000005;39.687;39.615;39.546;39.489000000000004
fra;self_employed_percent_of_employment;15.338;15.159;14.235999999999999;14.190999999999999;13.727;13.296;13.035;12.571;12.261;11.49;10.969000000000001;10.842;11.577;11.120999999999999;10.972000000000001;11.457;11.078;10.648;11.042;11.592;11.727;11.540999999999999;11.368;11.698;11.690999999999999;11.915;11.815999999999999;11.762;11.714;11.668;11.623;11.585
gab;self_employed_percent_of_employment;50.695;51.132;50.891000000000005;50.888000000000005;50.2;49.747;49.375;49.037;49.54;35.736;36.157;36.018;35.955999999999996;35.442;34.859;34.976;34.438;34.217;35.036;33.812;33.195;33.176;33.096;33.3;33.791;34.132;34.569;34.593;34.608000000000004;34.62;34.626999999999995;34.632
gbr;self_employed_percent_of_employment;13.789000000000001;13.286;13.144;13.465;13.498;13.052999999999999;12.967;12.493;12.67;12.324000000000002;12.255999999999998;12.364;12.87;13.154000000000002;13.058;13.292;13.454;13.415999999999999;13.671;14.071;14.255;14.732000000000001;14.704;15.325;15.062999999999999;15.498;15.421;15.376;15.327;15.252;15.167;15.083
geo;self_employed_percent_of_employment;37.289;29.061;38.751;51.553999999999995;59.521;62.568000000000005;61.754;56.231;57.097;62.238;64.66199999999999;64.487;65.898;66.27600000000001;65.498;68.958;69.711;64.245;63.989;61.961999999999996;61.86600000000001;61.383;61.333;60.177;57.474;57.567;58.68;58.715;58.801;58.958999999999996;59.131;59.068999999999996
gha;self_employed_percent_of_employment;85.439;85.265;85.147;85.186;85.141;85.221;84.45700000000001;84.289;85.665;85.522;85.365;85.213;85.24;85.30799999999999;85.02600000000001;81.963;81.536;81.53399999999999;81.686;80.756;75.324;74.904;74.48899999999999;74.11;73.581;73.199;73.117;73.013;72.919;72.82600000000001;72.733;72.641
gin;self_employed_percent_of_employment;92.601;92.214;92.39299999999999;92.46;92.43700000000001;92.323;92.475;92.6;92.42299999999999;92.529;92.557;92.45700000000001;92.289;92.43799999999999;92.4;92.603;92.728;92.72200000000001;92.648;92.587;92.516;92.094;91.738;91.72;91.70200000000001;91.613;91.595;91.56700000000001;91.538;91.508;91.479;91.448
gmb;self_employed_percent_of_employment;75.03699999999999;74.75;74.69;75.29;75.971;75.94800000000001;75.694;75.342;76.154;76.06;76.131;76.223;76.53399999999999;77.293;77.499;76.157;75.607;76.682;76.808;77.227;75.734;75.487;75.043;74.024;74.074;72.953;72.96300000000001;72.932;72.899;72.863;72.82600000000001;72.786
gnb;self_employed_percent_of_employment;72.161;69.732;72.654;72.681;72.19;72.767;70.914;76.465;74.814;66.212;63.38399999999999;66.495;66.428;66.324;67.447;66.237;66.469;68.192;66.73899999999999;67.362;66.57300000000001;68.023;65.21300000000001;64.579;65.61;66.65899999999999;66.7;66.661;66.622;66.584;66.548;66.514
gnq;self_employed_percent_of_employment;64.547;60.865;60.1;58.021;56.843999999999994;52.082;48.431000000000004;47.382;45.54600000000001;43.998999999999995;41.791000000000004;42.011;41.715;39.875;40.384;40.249;39.279;38.585;39.44;40.342;38.943000000000005;38.56;39.399;39.066;40.045;40.411;40.1;40.111999999999995;40.11;40.101;40.092;40.076
grc;self_employed_percent_of_employment;46.86600000000001;47.434;46.766000000000005;46.778999999999996;46.181000000000004;45.782;45.295;43.605;42.201;42.01;39.674;38.989000000000004;38.655;36.3;36.055;36.09;35.388000000000005;35.058;35.323;35.66;36.275999999999996;36.723;37.065;36.058;35.042;34.165;33.871;33.541;33.045;32.672;32.251999999999995;31.776999999999997
