geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008
hkg;flood_affected_annual_number;1438;0;22310;0;0;3259;200;97;300;0;0;0;185;613;0;366;0;1000;0;1860;0;0;1633;0;4018;0;0;80;0;0;0;0;0;0;0;0;0;0;0
hnd;flood_affected_annual_number;0;0;0;0;0;0;15020;0;0;40000;0;0;0;0;0;0;30000;0;16140;0;48000;0;0;82860;15650;25010;75010;0;0;503000;0;0;980;3115;0;808;1504;15510;313400
hrv;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;600;1200;0;0;0;250;0;0;0
hti;flood_affected_annual_number;0;0;40080;0;0;0;0;0;0;0;0;0;0;0;0;0;144000;8943;3928;24930;0;0;0;5013;0;0;58;0;0;63;1216;5107;38370;162500;33950;14100;24710;105000;0
hun;flood_affected_annual_number;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;200;0;0;133500;2001;10000;1430;0;393;0;32000;0;0
idn;flood_affected_annual_number;82;0;0;0;0;0;20180;290000;281700;35010;3099;352500;39000;417500;360200;4342;127200;29080;100200;61520;21190;240100;265600;267700;328800;260300;824600;0;100000;16010;488600;86100;591800;438800;13000;20940;699600;571000;461300
ind;flood_affected_annual_number;10350000;166300;0;0;260;34000000;0;1046000;32000000;28010000;32050000;16000000;33500000;250800;19000000;11330000;395300;18300000;22320000;3609;2224;8701000;3072000;128100000;12060000;32710000;7271000;30260000;29650000;27620000;50390000;20610000;42010000;7565000;33210000;28280000;7235000;38150000;12390000
irl;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3503;0;0;0;0;0;0;0;0;300;0;0;0;0;0;0
irn;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;950400;158;0;0;0;0;40260;865;150100;150000;0;215100;35060;499500;95040;6288;4049;1413;56760;25460;410;1206000;204600;1370;4093;4859;2814;12;1502
irq;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8000;0;59930;0;604
isl;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;280;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
isr;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1000;0;0;0;0;0;0;0;0;0;0
ita;flood_affected_annual_number;1302000;0;0;0;0;0;0;1023;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1002;0;17370;0;517;0;0;0;46070;2;10020;1353;202;0;0;0;309
jam;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;250000;0;0;0;0;0;0;40050;26010;0;0;0;551400;0;4381;0;0;0;0;0;0;0;0;25010;0;0;0;5001;0;0
jor;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;0;0;0;18010;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
jpn;flood_affected_annual_number;0;0;458;0;0;0;0;5;15010;28070;20;0;27690;0;0;0;162000;0;27;10;615;0;0;4800;0;12000;0;0;24050;24200;360100;139;0;837;28120;900;10570;10000;50010
kaz;flood_affected_annual_number;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30010;0;0;0;0;0;0;2500;3668;0;0;0;25000;0;0;13000
ken;flood_affected_annual_number;0;0;0;0;0;16000;0;20100;0;0;0;0;3075;0;0;0;0;0;0;0;44;0;0;0;0;0;1000;900100;240;0;0;4;175100;60340;12050;36230;783500;42670;62490
