geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010
cod;residential_energy_use_percent;;;;;;;;;;;;66.1;66.54;66.67;66.57;66.86;68.34;68.31;68.54;68.06;69.09;69.11;71.17;68.88;69.59;70.38;71.27;70.74;70.46;70.69;72.64;73.72;74.24;74.54;75.04;75.13;75.28;75.39;75.26;75.38;75.82;76.09;76.14;75.97;75.97;75.69;75.83;75.35;75.22;75.24;75.16
cog;residential_energy_use_percent;;;;;;;;;;;;60.68;59.95;61.41;62.02;62.79;58.06;63.51;61.82;62.97;61.48;60.71;57.5;58.19;61.16;60.55;64.02;63.05;65.23;64.65;66.74;67.11;68.83;69.34;72.06;73.53;75.16;79.16;78.5;81.08;72.85;68.92;73.53;67.28;63.91;64.89;61.19;60.09;55.57;54.66;52.22
col;residential_energy_use_percent;;;;;;;;;;;;41.25;37.0;38.77;35.57;33.05;31.59;31.51;30.88;30.96;30.18;30.96;30.58;30.57;30.27;29.44;29.42;28.85;28.46;29.17;29.2;29.15;25.83;25.18;23.91;23.98;23.58;18.12;17.76;19.84;19.93;20.3;20.73;21.73;19.83;20.06;21.89;22.45;21.46;22.2;21.95
cri;residential_energy_use_percent;;;;;;;;;;;;51.27;49.2;47.08;47.63;45.61;44.76;42.04;40.23;39.61;40.41;40.96;45.89;44.42;46.05;46.96;46.92;46.1;45.01;36.75;36.24;36.06;32.69;19.71;19.23;19.84;20.21;15.31;14.11;13.89;14.25;15.2;16.02;16.13;17.82;19.28;20.0;19.35;19.78;17.56;18.78
cub;residential_energy_use_percent;;;;;;;;;;;;16.57;18.54;18.42;18.13;17.33;17.56;17.33;16.11;16.72;18.09;16.46;17.55;16.9;16.61;18.99;19.47;18.76;18.14;16.96;17.76;21.73;20.01;20.03;19.64;19.85;17.41;16.17;16.58;15.94;16.72;15.81;18.75;22.24;25.03;23.96;17.73;15.81;16.87;16.36;17.26
cyp;residential_energy_use_percent;;;;;;;;;;;;12.34;11.64;11.28;13.33;12.47;11.82;10.97;10.44;10.03;10.55;10.94;11.51;11.54;11.31;11.62;10.7;10.55;10.63;10.74;12.0;10.66;12.0;11.5;11.19;11.05;10.98;11.21;11.47;11.22;12.05;11.89;12.88;13.4;12.6;19.81;17.87;17.84;16.86;18.04;17.14
cze;residential_energy_use_percent;;;;;;;;;;;;24.89;24.09;22.45;20.52;20.63;21.04;21.26;20.32;21.52;21.5;21.41;20.81;21.81;22.39;23.32;23.67;24.41;24.32;23.14;25.5;26.6;22.0;21.03;22.24;22.7;25.2;24.72;24.35;24.31;23.5;25.06;23.66;23.67;22.59;22.5;23.16;22.38;22.04;23.34;24.47
deu;residential_energy_use_percent;26.32;27.54;29.46;31.6;30.41;30.29;30.39;30.55;30.62;32.46;26.47;25.8;25.47;25.15;23.81;24.1;24.68;24.46;23.7;23.44;22.07;21.89;22.23;21.41;26.92;28.0;27.92;27.72;25.67;24.22;26.16;27.25;26.77;28.47;27.73;28.39;29.87;29.8;29.48;28.23;28.18;29.61;28.95;26.17;25.95;26.32;26.42;27.14;29.13;29.52;27.36
dnk;residential_energy_use_percent;45.17;41.13;43.73;44.92;50.24;49.71;46.9;48.46;48.03;46.99;45.29;45.01;43.58;45.26;44.91;41.18;41.45;40.41;39.02;39.69;37.85;37.52;31.16;33.13;32.03;35.88;35.01;35.61;33.13;31.59;30.39;31.17;30.42;31.88;30.78;30.85;31.68;30.34;30.45;29.79;29.24;30.23;29.95;30.04;29.65;29.84;29.48;29.39;29.72;31.09;32.74
dom;residential_energy_use_percent;;;;;;;;;;;;30.98;31.23;30.63;30.21;31.46;30.14;31.17;30.45;31.35;32.73;33.86;29.88;30.87;29.64;40.89;38.82;35.87;39.01;37.04;43.6;45.12;48.85;48.4;43.92;42.97;42.88;41.15;40.61;39.55;39.17;35.58;34.95;37.99;38.55;37.3;35.29;36.38;37.82;36.56;36.55
dza;residential_energy_use_percent;;;;;;;;;;;;20.7;21.42;22.55;22.25;21.85;24.89;22.4;23.13;23.18;23.82;23.05;22.79;25.4;26.95;34.88;36.09;35.25;35.01;39.04;34.82;36.36;36.12;36.24;38.1;37.52;37.99;36.27;39.99;38.58;38.38;39.65;38.82;38.54;41.39;42.64;41.77;41.92;42.29;24.04;24.04
ecu;residential_energy_use_percent;;;;;;;;;;;;50.4;50.2;46.88;46.02;43.41;41.44;37.88;34.49;29.99;27.74;26.6;29.51;30.34;27.9;25.59;25.08;25.86;25.14;25.8;24.2;23.21;23.93;23.44;23.1;23.19;21.29;21.84;19.99;21.35;19.61;20.03;18.68;17.93;19.9;19.55;20.51;21.58;20.9;18.83;19.55
egy;residential_energy_use_percent;;;;;;;;;;;;23.58;24.16;24.93;24.11;23.59;22.91;22.18;22.76;22.26;20.5;19.7;20.56;21.07;20.61;21.38;22.52;22.81;22.59;22.08;21.66;21.88;21.07;19.27;22.5;21.92;21.05;21.34;22.25;20.19;21.37;20.81;20.32;21.06;22.41;19.15;18.82;18.56;19.92;22.14;22.37
eri;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;86.36;79.19;77.65;76.53;75.31;75.0;71.54;71.34;72.55;71.72;71.38;72.08;66.93;70.69;75.81;76.74;80.08;79.72;78.53
esp;residential_energy_use_percent;17.07;13.19;11.94;11.67;11.8;11.59;12.32;14.7;16.82;13.9;13.59;13.89;13.93;9.414;9.582;10.04;10.16;9.568;9.963;10.62;10.66;11.3;11.56;11.73;12.09;12.15;12.71;11.79;11.65;14.66;15.1;15.3;15.26;15.7;15.6;14.52;15.23;14.67;14.23;14.72;14.02;14.07;14.23;14.46;14.73;14.79;15.74;15.45;15.9;17.21;17.54
est;residential_energy_use_percent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;16.73;16.46;22.21;26.05;29.21;35.09;37.53;38.98;36.7;37.2;35.92;33.62;33.51;32.45;31.06;29.63;29.29;30.11;29.9;34.88;35.28
eth;residential_energy_use_percent;;;;;;;;;;;;94.97;95.33;94.98;95.11;95.75;95.71;95.63;95.31;95.25;95.42;95.02;95.61;95.59;95.87;95.89;95.26;94.74;94.82;94.7;94.61;94.7;96.23;95.49;95.11;94.82;94.48;94.48;94.21;94.25;93.91;92.96;92.83;92.88;92.4;92.68;92.46;93.7;93.89;93.93;93.82
