geo;indicator;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004
can;economic_growth_over_the_past_10_years;1.3869999999999998;1.1179999999999999;1.102;1.3130000000000002;2.306;2.27;2.129;2.274;2.6519999999999997;2.892;2.967;3.343;3.197;3.3710000000000004;3.017;2.693;2.659;2.93;2.88;2.785;2.807;2.5610000000000004;1.771;1.483;1.79;2.022;1.77;1.815;1.871;1.7530000000000001;1.5390000000000001;0.9713;1.391;1.3130000000000002;1.263;1.119;1.057;1.145;1.159;1.5119999999999998;2.108;2.559;2.786;2.745;2.513
che;economic_growth_over_the_past_10_years;3.338;3.2510000000000003;3.7939999999999996;3.8510000000000004;3.721;3.2310000000000003;2.7680000000000002;2.77;3.5989999999999998;3.318;3.2880000000000003;3.028;3.023;3.023;2.68;1.649;1.494;1.588;1.5530000000000002;1.4780000000000002;1.3230000000000002;1.041;0.5596;0.3214;0.4893;1.669;1.838;1.591;1.59;1.558;1.3330000000000002;1.081;1.187;1.097;0.9545;0.735;0.5956;0.6595;0.7278;0.4608;0.4931;0.7327;0.8065;0.8068;0.8801
chl;economic_growth_over_the_past_10_years;;1.6669999999999998;1.577;0.9759;1.8980000000000001;1.453;2.492;2.056;2.019;2.715;2.072;2.741;2.3209999999999997;1.39;1.37;-0.1553;-0.9415;-0.2559;0.131;0.5515;0.7979;0.4458;-1.002;-0.8528;-0.537;1.065;1.319;0.9375;0.8;0.8913;0.6803;0.8541;3.488;4.5280000000000005;4.617;5.5120000000000005;5.806;5.946000000000001;5.609;4.692;4.813;4.44;3.55;3.335;3.3510000000000004
chn;economic_growth_over_the_past_10_years;;;1.067;1.073;1.995;2.456;2.105;1.298;-0.1316;0.5645;1.176;3.5210000000000004;3.735;3.707;2.8080000000000003;2.45;2.01;3.0189999999999997;4.445;4.484;4.152;4.1610000000000005;5.178;5.33;6.571000000000001;6.778;8.13;8.661;8.345;7.542999999999999;8.37;8.399;8.357000000000001;8.48;8.743;9.065;8.506;8.612;8.847000000000001;9.441;9.082;9.062999999999999;8.852;8.836;8.075
civ;economic_growth_over_the_past_10_years;;;;;;;;;;;3.958;4.322;3.9560000000000004;2.813;1.452;3.1260000000000003;2.862;2.682;2.573;2.439;0.7678;0.2374;1.436;1.12;1.411;0.7277;0.7371;0.6707;-0.1893;0.8792;1.314;0.6844;-0.6044;-0.5307;-1.0659999999999998;-1.011;-1.2209999999999999;-0.9816;-0.6572;-1.671;-0.799;-0.4683;-0.5793;-0.3054;
cmr;economic_growth_over_the_past_10_years;;;;;;;;;;;0.08342999999999999;-0.1227;-0.1567;-0.01625;0.1321;0.0401;0.02865;1.35;1.1079999999999999;1.205;1.983;3.2289999999999996;4.994;5.359;5.09;5.925;5.726;4.204;3.701;2.002;1.2890000000000001;-0.2552;-2.5180000000000002;-3.528;-4.195;-4.9510000000000005;-4.771;-3.032;-2.316;-1.197;-0.8640000000000001;-0.08438;0.9029;1.726;
cod;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;-2.0469999999999997;-3.022;-4.348;-4.323;-4.2410000000000005;-3.563;-2.055;-1.9509999999999998;-2.0180000000000002;-2.7239999999999998;-1.6840000000000002;-2.061;-2.891;-5.515;-5.473;-6.3;-6.787000000000001;-6.69;-6.649;-7.417000000000001;-9.493;-8.981;-6.9479999999999995;-2.489;-2.5980000000000003
cog;economic_growth_over_the_past_10_years;;;;;;;;;;;2.614;3.3280000000000003;2.7539999999999996;3.708;3.049;3.78;4.42;4.334;4.255;4.887;5.4;6.15;7.282;6.831;7.667999999999999;6.372000000000001;4.794;4.395;3.772;2.4290000000000003;2.391;-0.7566;-1.125;-2.906;-3.872;-2.582;-1.436;-0.8566;0.507;-4.523;-6.96;-5.086;-5.172000000000001;-3.861;
col;economic_growth_over_the_past_10_years;1.304;1.5;1.43;1.127;1.234;1.033;1.23;1.561;1.858;1.942;2.1430000000000002;2.369;2.539;2.8930000000000002;2.78;2.9939999999999998;3.1039999999999996;3.12;3.533;3.4810000000000003;3.3510000000000004;2.8960000000000004;2.333;1.8419999999999999;1.712;1.73;1.7469999999999999;1.847;1.4;1.217;1.216;1.256;1.492;1.7109999999999999;1.806;2.002;1.953;1.899;1.656;1.272;1.114;0.9871;0.9046;0.8571;
com;economic_growth_over_the_past_10_years;;;;;;;;;;;2.1069999999999998;1.344;2.176;-0.5135;-0.6187;2.3169999999999997;1.065;-0.5191;-1.033;-0.1098;1.294;1.62;1.061;1.986;1.5;0.4851;1.177;1.565;1.653;0.8861;0.4397;0.1378;-0.7647;-0.732;-0.612;-1.915;-2.371;-2.647;-3.326;-3.4739999999999998;-3.661;-3.627;-3.14;-3.648;
cpv;economic_growth_over_the_past_10_years;;;;;;;;;;;4.335;3.41;4.382;4.186;3.787;3.011;1.4169999999999998;-0.3251;-0.7912;-0.1923;-0.8356;-0.1773;-0.2224;1.732;1.827;3.935;3.8810000000000002;3.7769999999999997;4.442;4.437;4.019;3.661;3.4739999999999998;2.9589999999999996;2.24;2.525;2.454;3.5260000000000002;3.597;4.224;5.705;5.033;5.231;4.895;
cri;economic_growth_over_the_past_10_years;3.638;3.1060000000000003;2.6060000000000003;1.5419999999999998;1.7069999999999999;1.729;2.5669999999999997;2.488;1.9580000000000002;2.364;2.359;3.0389999999999997;3.187;3.156;3.156;2.5980000000000003;2.483;2.923;2.8339999999999996;2.8;2.106;1.47;0.06333;-0.3021;-0.1766;-0.3664;-0.4254;-1.006;-1.2109999999999999;-1.158;-0.9307;-0.536;0.9025;1.459;1.3659999999999999;1.716;1.6569999999999998;1.8330000000000002;2.174;2.775;2.763;2.571;2.1430000000000002;2.206;2.094
cub;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;3.4339999999999997;4.748;5.752000000000001;6.097;6.4270000000000005;8.283999999999999;8.017999999999999;6.909;6.382000000000001;6.181;6.018;3.9539999999999997;1.369;-0.5599;-0.6491;-3.2680000000000002;-3.113;-3.315;-3.322;-2.739;-1.643;-1.111;0.4822;2.425;
cyp;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;4.539;3.8280000000000003;3.787;4.21;6.596;8.412;6.742999999999999;5.931;5.99;5.771;5.843999999999999;5.494;5.563;4.824;4.75;5.246;5.013;4.441;3.8510000000000004;3.8489999999999998;3.411;3.8760000000000003;3.4560000000000004;3.803;3.543
cze;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.08766;1.597;1.8659999999999999;2.104;2.266
deu;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;2.6260000000000003;2.261;1.774;1.584;1.895;2.141;1.911;1.729;1.73;1.594;1.943;2.394;2.656;2.299;2.26;2.2319999999999998;2.023;2.0469999999999997;1.9180000000000001;1.801;1.65;1.3559999999999999;1.171;1.287;1.247
dji;economic_growth_over_the_past_10_years;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-1.834;-1.876;-3.391;-2.7769999999999997;-1.722;-3.6910000000000003;-1.155;-2.641;-3.205;-2.986;1.177;1.295;4.298;3.716;2.932;
