geo;indicator;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
bwa;gdpperworking_hour_us_inflation_adjusted;13376.798999999999;13708.278;13804.368;14327.803999999998;14842.948;15331.046;15978.58;15628.246000000001;16383.764;16014.28;16000.126;17072.145;17712.885;17235.451;17076.67;17231.449;18179.084;18816.604;16852.9;19131.867;18502.031000000003;17888.416;18625.99;18935.447;18164.186;18371.068;19013.332;19446.718999999997;19994.189;20533.018;21076.916;21634.736
caf;gdpperworking_hour_us_inflation_adjusted;1180.989;1075.569;1049.077;1069.8519999999999;1115.297;1045.2930000000001;1076.058;1101.395;1115.621;1063.226;1090.391;1109.177;1029.725;1071.868;1061.782;1094.427;1126.164;1131.548;1135.8419999999999;1158.7830000000001;1193.88;1244.177;788.172;797.4939999999999;834.203;859.4689999999999;807.9889999999999;830.2239999999999;855.227;883.6239999999999;912.4580000000001;942.722
can;gdpperworking_hour_us_inflation_adjusted;75074.75;76599.508;78295.906;80218.672;81012.633;81736.07;83465.031;84498.844;86533.273;88865.43;89470.81199999999;90082.641;89434.42199999999;90648.477;92263.289;93023.977;92622.625;92072.406;90836.82;92342.883;93869.508;94397.141;95445.57800000001;97340.5;97470.29699999999;98289.891;100006.992;101040.523;102433.352;103734.648;104968.711;106224.398
chanisl;gdpperworking_hour_us_inflation_adjusted;44886.859000000004;44082.238;44267.867;45213.703;46341.934;47519.625;48618.210999999996;49923.402;51303.477;52893.867;54518.73;55826.008;56919.598;58303.992;59477.137;60536.523;61800.875;61923.387;59288.207;58919.875;59716.207;59975.398;60584.969000000005;62272.035;63824.996;64749.43;68656.422;69495.469;70306.719;71462.867;72781.578;74157.68
che;gdpperworking_hour_us_inflation_adjusted;113197.18800000001;113497.984;113512.141;115763.211;115246.258;114953.984;117987.734;119309.68;120205.969;124573.281;124525.039;124310.79699999999;124585.016;128060.07;131074.766;133208.438;135713.344;135359.359;131538.0;137084.828;136052.0;135560.406;136475.281;136820.891;135955.359;135898.266;136973.781;139236.672;140791.844;142148.469;143629.359;145202.156
chl;gdpperworking_hour_us_inflation_adjusted;17631.861;18659.375;19108.404;20015.455;21548.092;23051.922000000002;24130.65;24610.234;24987.125;26253.646;26635.272999999997;27089.347999999998;27412.891;28199.783;29301.504;30155.336;30143.326;30470.242000000002;30342.166;29808.996;30237.097999999998;31226.459;31861.897999999997;32108.191000000003;32349.457000000002;32623.188;32820.863;33682.586;34369.953;35013.582;35658.961;36321.477
chn;gdpperworking_hour_us_inflation_adjusted;1423.237;1592.366;1783.869;1989.457;2187.949;2369.7070000000003;2562.797;2746.495;2930.3109999999997;3137.63;3376.824;3650.321;3975.8940000000002;4341.306;4793.566;5366.526;6081.977;6679.556;7277.965999999999;8032.312;8774.075;9445.963;10164.104;10898.058;11645.383;12441.626;13083.58;13950.912;14833.991000000002;15747.006000000001;16697.732;17687.256
civ;gdpperworking_hour_us_inflation_adjusted;4028.8579999999997;3878.607;3710.1820000000002;3587.535;3668.5209999999997;3837.653;3867.4190000000003;3947.135;3923.366;3764.7909999999997;3723.972;3622.897;3538.2129999999997;3546.1040000000003;3568.6620000000003;3574.902;3586.889;3622.76;3680.252;3690.363;3463.0820000000003;3758.952;4009.808;4272.027;4566.460999999999;4872.340999999999;5011.9890000000005;5245.706999999999;5473.339;5677.1759999999995;5854.194;6030.378000000001
cmr;gdpperworking_hour_us_inflation_adjusted;3097.135;2919.4809999999998;2613.637;2594.365;2627.554;2686.1259999999997;2751.3140000000003;2805.36;2836.0879999999997;2868.848;2916.211;2923.728;2930.583;2926.574;2892.462;2876.63;2865.055;2870.935;2849.617;2873.153;2914.843;2969.204;3052.466;3123.24;3208.337;3258.757;3277.813;3328.2209999999995;3401.243;3478.21;3552.434;3627.402
cod;gdpperworking_hour_us_inflation_adjusted;1556.326;1339.682;1114.4260000000002;1032.7089999999998;1006.6039999999999;970.2130000000001;893.845;859.581;803.5160000000001;728.7460000000001;694.698;695.2;712.436;737.429;758.5110000000001;774.9060000000001;798.0269999999999;821.0219999999999;817.31;846.9780000000001;876.687;909.508;955.181;1012.262;1046.713;1035.322;1028.785;1031.3310000000001;1041.785;1060.954;1085.381;1114.315
cog;gdpperworking_hour_us_inflation_adjusted;8800.223;8764.839;8411.308;7695.081999999999;7756.204000000001;7845.434;7547.48;7584.847;7144.559;7448.4169999999995;7506.869000000001;7622.076;7447.223000000001;7463.66;7782.188;7888.815;7389.164000000001;7437.374;7646.944;7903.41;7822.839;7653.153;7733.683000000001;8071.534000000001;8093.007;7773.411999999999;8082.896;8003.145;8188.96;8489.379;8868.374;9129.418
col;gdpperworking_hour_us_inflation_adjusted;14011.983999999999;14158.034;13833.841999999999;14141.655;14373.317;14602.141000000001;14576.425;14571.163999999999;14282.038;14447.186000000002;13234.646;13174.382;12995.548999999999;13151.704;13030.141000000001;13588.291000000001;13828.8;13886.02;13819.068000000001;13811.524;14197.317;14293.961000000001;14703.323999999999;15045.483;15184.678999999998;15354.037;15546.385;15864.013;16249.112;16642.582;17073.869;17523.859
com;gdpperworking_hour_us_inflation_adjusted;3626.433;3825.2490000000003;3822.092;3502.3740000000003;3521.62;3371.4120000000003;3408.3340000000003;3352.276;3318.639;3582.469;3565.413;3547.5440000000003;3520.8109999999997;3486.1540000000005;3481.6290000000004;3472.658;3397.006;3307.551;3270.3579999999997;3240.658;3226.365;3223.752;3236.756;3203.6440000000002;3137.8459999999995;3115.486;3088.6859999999997;3133.5409999999997;3181.28;3232.038;3284.9959999999996;3340.719
cpv;gdpperworking_hour_us_inflation_adjusted;3172.5040000000004;3414.515;3594.4179999999997;4147.412;4589.271;4963.073;5363.7480000000005;5875.406;6362.52;7078.29;7018.505999999999;7170.241999999999;7257.268;7781.689;8104.899;8519.529;9566.881;9951.523000000001;9580.869;9486.783000000001;9638.753;9514.389000000001;9361.992;9199.081;9085.488000000001;9239.931;9732.553;9970.005;10234.038;10510.305;10786.124;11084.536
cri;gdpperworking_hour_us_inflation_adjusted;13703.728000000001;14534.511;14918.318000000001;15025.928;15096.716999999999;15482.111;15185.003999999999;15298.403999999999;15622.575;15942.25;15681.798;15873.671999999999;16126.683;16725.145;16403.324;17130.924;17663.957;18261.307;18467.564;19720.691000000003;20016.486;20722.002;20548.343999999997;20533.965;21462.889;23010.917999999998;23548.291;24146.631;24768.166;25410.979;26087.881;26797.117000000002
cub;gdpperworking_hour_us_inflation_adjusted;10714.438;9332.368;7854.411;7727.974;7807.679;8240.433;8356.723;8248.974;8705.051;9050.5;9142.509;9113.029;9261.514000000001;9648.649;10503.515;11526.278;12105.536;12390.958;12275.597;12703.971000000001;13103.845;13497.284;13814.112;13863.822;14424.124;14431.845;14059.688999999998;14255.327;14625.341;15106.3;15709.287;16380.374
cyp;gdpperworking_hour_us_inflation_adjusted;36103.922;38359.512;38164.883;39068.367;41744.551;41838.102;41690.102;42970.625;44002.805;44830.855;43978.879;44177.367;43891.32;44658.375;46013.871;46477.762;47079.059;47809.762;46710.762;46576.437999999995;47529.937999999995;47784.035;46758.664000000004;45328.125;45479.449;45174.832;43711.547;44525.73;45273.617;45935.707;46568.402;47200.613
cze;gdpperworking_hour_us_inflation_adjusted;26080.715;25998.686;26022.332000000002;26468.982000000004;27913.862999999998;29069.414;29116.188;29420.447;30540.221;32099.877;32871.773;33051.301;34507.66;36511.363;38312.82;40511.629;41934.984;42571.469000000005;41130.215;42347.937999999995;42961.905999999995;42431.93;41777.863;42550.793;43937.289000000004;44118.687999999995;46240.973;48144.035;49903.754;51214.723;52584.785;54048.992
deu;gdpperworking_hour_us_inflation_adjusted;71625.305;74182.727;75023.969;77125.438;78156.719;79367.008;81348.961;82843.203;83249.078;85031.734;86248.234;86728.844;86884.20300000001;88997.06199999999;88540.609;90157.04699999999;90963.18800000001;90865.094;85796.625;88374.195;89459.383;89272.273;88750.95300000001;89519.0;90570.57800000001;91195.75;92787.609;94294.891;95462.977;96653.18;97761.06199999999;98825.17199999999
dji;gdpperworking_hour_us_inflation_adjusted;4483.749;4407.572;4063.3779999999997;3974.434;3768.757;3513.159;3377.953;3269.188;3230.184;3141.225;3128.063;3136.409;3165.51;3216.009;3246.107;3326.2859999999996;3416.3940000000002;3530.9970000000003;3620.8459999999995;3656.775;3725.0359999999996;3806.817;3896.191;4027.421;4185.786;4598.247;4849.267;5116.023;5398.229;5669.894;5931.514;6175.93
dnk;gdpperworking_hour_us_inflation_adjusted;88882.281;90487.648;92778.79699999999;97477.867;97818.695;100260.789;101203.727;103399.17199999999;105261.289;109008.67199999999;109918.695;109228.883;111753.742;113341.344;115365.20300000001;117386.06199999999;118313.45300000001;116082.758;113828.773;118606.477;120292.969;121045.016;122124.016;123151.68800000001;123868.219;122071.789;125043.906;127270.055;129503.531;131683.719;133833.047;135900.203
dom;gdpperworking_hour_us_inflation_adjusted;7022.204000000001;7489.394;7845.729;7872.685;8078.885;8441.778;8867.917;9273.638;9667.385;9994.56;9960.218;10281.606;10092.729;9989.459;10610.427;11374.443000000001;12031.413;12390.213;12638.721000000001;13108.358;13088.855;13255.29;13710.488000000001;14315.335;14910.442;15556.726999999999;15972.407;16607.766;17273.238;17936.311999999998;18568.176;19150.385
dza;gdpperworking_hour_us_inflation_adjusted;16945.433999999997;17155.693;16155.915;15635.168;16467.73;16638.074;15846.9;16331.066;16403.883;17605.609;17084.843999999997;17284.656000000003;17588.283;16609.859;16718.18;16078.232;16581.504;16190.944;15941.366000000002;16076.192;16217.826000000001;16606.082;16196.396;17571.225;18112.725;18358.566000000003;18422.529;18426.752;18535.48;18675.787;18877.986;19121.129
ecu;gdpperworking_hour_us_inflation_adjusted;10148.625;10364.159;10161.267;10105.123;9977.167;10239.004;10240.619;10194.372;9815.093;9119.43;9465.425;9473.434000000001;9613.586;9813.408000000001;9982.201;10015.280999999999;9957.485999999999;10638.072;10519.74;10774.223999999998;11438.968;11691.94;12112.908000000001;12434.846000000001;11785.284;11182.243;11183.63;11204.42;11271.24;11407.775;11586.421999999999;11793.633999999998
egy;gdpperworking_hour_us_inflation_adjusted;6186.319;6267.494000000001;6413.653;6369.7519999999995;6676.939;6711.696;6920.076;7063.835999999999;7044.565;7326.0509999999995;7471.814;7573.189;7592.251;7539.628000000001;7666.170999999999;7865.313;7894.281999999999;8185.271;8377.681;8816.963;8867.396;8943.155;8977.555;9194.383;9557.453000000001;9768.345;9725.535;9896.687;10082.404;10289.225;10521.169;10770.431
eri;gdpperworking_hour_us_inflation_adjusted;966.4839999999999;909.807;1049.985;1292.055;1340.896;1442.854;1524.871;1510.851;1464.454;1370.799;1432.4189999999999;1415.265;1320.0639999999999;1286.415;1272.753;1227.484;1216.736;1074.7169999999999;1095.735;1099.014;1171.885;1140.393;1146.563;1176.221;1206.011;1219.29;1228.066;1241.56;1256.132;1274.0839999999998;1293.0910000000001;1314.3770000000002
esh;gdpperworking_hour_us_inflation_adjusted;2791.737;2749.598;2706.969;2695.4809999999998;2744.0690000000004;2808.7140000000004;2864.402;2901.1059999999998;2909.362;2954.708;3001.8779999999997;3025.966;3120.905;3250.829;3379.2209999999995;3538.4629999999997;3728.1820000000002;3865.8340000000003;3874.4120000000003;4011.905;4147.808;4269.293;4381.146;4485.119000000001;4552.719;4720.3859999999995;4678.992;4807.603;4952.538;5106.9929999999995;5272.319;5440.968000000001
esp;gdpperworking_hour_us_inflation_adjusted;66901.125;68492.805;70807.523;73151.945;73252.859;73547.703;73538.156;73606.5;72497.539;72401.453;72321.672;71737.586;71405.594;71171.492;69698.492;70024.172;70878.664;72277.805;74331.867;75422.688;76078.531;77355.352;78135.969;78324.391;78811.43;79192.734;79891.602;80625.453;81957.562;83623.773;85289.977;86927.31199999999
est;gdpperworking_hour_us_inflation_adjusted;17665.529;14736.753999999999;14725.376;15009.69;16554.377;17675.996;19705.004;20611.414;21230.027000000002;23956.949;25767.141;26974.74;28408.33;29851.213;32074.049;33554.246;35701.746;33809.27;31898.979;34197.621;34753.094;35445.223;35560.426;36311.91;35951.145;36409.113;38046.32;39188.977;41048.941;43040.297;45178.074;47403.539000000004
eth;gdpperworking_hour_us_inflation_adjusted;458.914;404.98199999999997;442.756;441.288;454.04699999999997;497.49800000000005;500.35400000000004;471.60900000000004;484.51800000000003;491.185;509.934;495.56800000000004;464.09;504.986;540.5980000000001;581.339;628.43;674.743;710.7719999999999;773.9889999999999;831.471;872.702;931.039;994.143;1063.136;1110.646;1037.205;1087.685;1134.694;1178.364;1222.6580000000001;1269.393
fin;gdpperworking_hour_us_inflation_adjusted;65073.652;67740.258;71530.227;75103.852;79382.891;81453.484;84350.766;86507.742;87284.68800000001;90897.805;91573.95300000001;92702.727;94672.29699999999;98614.945;98579.773;100603.43800000001;103730.289;102922.641;97441.79699999999;100916.031;102360.461;100567.56199999999;100900.516;100639.961;101393.914;102367.375;105089.531;107013.133;108670.45300000001;110320.086;112014.945;113708.758
fji;gdpperworking_hour_us_inflation_adjusted;8047.911;8375.743;8446.548;8709.051;8729.965;9091.994;8861.728000000001;8965.913;9769.27;9613.211;9696.135;9927.859;9915.612;9956.274;9912.795;10315.36;10418.982;10303.334;9882.419;9951.246;10047.793;10057.925;10334.982;10572.503999999999;11113.958;11266.165;11244.348999999998;11654.716;12110.296;12669.195;13238.008999999998;13752.053
fra;gdpperworking_hour_us_inflation_adjusted;81626.867;83326.914;83479.906;86399.859;86930.656;87485.594;89725.023;91671.54699999999;93614.859;94744.211;94804.258;94943.141;93558.281;96297.836;96598.67199999999;98444.367;99101.25;97927.508;95963.273;97619.648;99565.023;99616.766;100369.57800000001;101857.867;102874.25;103490.609;104891.17199999999;106743.68800000001;108170.555;109493.56199999999;110703.406;111753.969
gab;gdpperworking_hour_us_inflation_adjusted;50731.672;47990.16;48699.883;49225.449;50329.348;50750.527;52186.602;52443.937999999995;46189.926;43865.621;43409.578;41865.484;41333.789;40092.125;40237.305;37486.395;38315.246;35691.613;34411.043;35455.617;36337.191;36555.211;36915.852;36875.0;36777.039;36346.656;35723.937999999995;35658.574;35927.684;36277.098;36809.527;37415.68
gbr;gdpperworking_hour_us_inflation_adjusted;61386.582;62808.613;65310.238;67444.664;68464.945;69549.109;70378.773;71744.797;73231.508;74961.844;76442.164;77748.273;79556.922;80689.023;82024.547;83291.961;84595.984;83064.242;80441.781;81611.922;82589.664;82645.766;83159.953;83821.953;84433.57;84890.961;85783.45300000001;86394.125;87290.391;88707.75;90356.039;92072.844
geo;gdpperworking_hour_us_inflation_adjusted;5501.828;3029.7059999999997;2169.53;1979.3139999999999;2127.746;2471.449;2789.3759999999997;2911.2;2996.8459999999995;3067.2990000000004;3121.4359999999997;3467.092;3735.8540000000003;4096.412;4581.18;5024.233;5654.43;6042.018;5891.5830000000005;6180.875;6518.982;6915.9169999999995;7290.682;7498.848000000001;7666.795;8007.585;7890.92;8288.201;8727.61;9180.168;9658.109;10165.914
gha;gdpperworking_hour_us_inflation_adjusted;2081.64;2097.5389999999998;2147.446;2166.896;2205.637;2260.2;2308.759;2367.261;2457.695;2487.199;2479.292;2480.26;2496.146;2521.638;2555.431;2603.604;2644.8559999999998;2811.078;2869.393;3013.1209999999996;3307.653;3480.461;3574.547;3622.7;3669.8140000000003;3712.921;3854.765;4007.2329999999997;4131.127;4255.917;4381.3820000000005;4509.91
gin;gdpperworking_hour_us_inflation_adjusted;1143.813;1116.116;1108.147;1094.952;1097.683;1112.499;1143.489;1163.17;1186.7730000000001;1194.528;1217.252;1257.797;1249.654;1253.812;1265.036;1270.1889999999999;1263.895;1296.607;1262.381;1256.212;1275.66;1295.266;1293.319;1265.84;1234.031;1264.566;1285.5610000000001;1306.94;1332.0279999999998;1360.904;1390.031;1422.0379999999998
gmb;gdpperworking_hour_us_inflation_adjusted;1833.394;1841.645;1846.615;1796.9229999999998;1759.41;1751.55;1785.609;1792.8339999999998;1846.7579999999998;1883.253;1931.344;1807.181;1866.394;1929.031;1843.945;1804.249;1807.891;1846.9460000000001;1898.274;1951.226;1803.465;1844.339;1871.263;1826.733;1851.421;1822.918;1809.5479999999998;1813.4;1820.44;1830.5620000000001;1839.884;1852.739
gnb;gdpperworking_hour_us_inflation_adjusted;1699.2679999999998;1677.829;1672.835;1686.1270000000002;1720.126;1888.144;1977.8210000000001;1396.0770000000002;1386.065;1433.5739999999998;1432.4260000000002;1384.5710000000001;1357.9620000000002;1359.818;1380.8029999999999;1376.6;1383.283;1388.868;1394.807;1415.1170000000002;1504.557;1434.295;1403.7910000000002;1397.3110000000001;1422.254;1459.902;1426.4620000000002;1461.874;1499.092;1538.233;1578.635;1617.491
gnq;gdpperworking_hour_us_inflation_adjusted;1475.1970000000001;1929.47;2072.12;2333.749;2639.938;4265.002;10376.21;12321.495;14824.751;16732.629;26467.672000000002;30291.522999999997;32929.559;43465.027;48212.246;49557.210999999996;54456.655999999995;61016.723;58429.754;50094.405999999995;51096.555;52933.262;48253.012;45568.405999999995;39273.809;34400.742;45512.280999999995;43419.93;41677.867;40101.617;39497.164;39062.562000000005
