geo;indicator;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015
che;mean_years_in_school_women_25_to_34_years;7.23;7.39;7.55;7.71;7.87;8.04;8.21;8.37;8.54;8.71;8.88;9.05;9.22;9.39;9.56;9.73;9.91;10.08;10.25;10.42;10.59;10.76;10.93;11.1;11.26;11.43;11.59;11.75;11.91;12.07;12.23;12.39;12.54;12.7;12.85;13.0;13.15;13.3;13.44;13.59;13.73;13.87;14.01;14.15;14.28;14.42
chl;mean_years_in_school_women_25_to_34_years;6.29;6.44;6.58;6.73;6.88;7.03;7.18;7.33;7.48;7.64;7.79;7.95;8.1;8.26;8.41;8.57;8.73;8.89;9.04;9.2;9.36;9.52;9.67;9.83;9.98;10.14;10.3;10.46;10.62;10.78;10.95;11.11;11.27;11.43;11.59;11.75;11.91;12.07;12.22;12.38;12.54;12.69;12.84;13.0;13.15;13.29
chn;mean_years_in_school_women_25_to_34_years;3.57;3.67;3.77;3.88;3.98;4.09;4.2;4.32;4.43;4.55;4.67;4.79;4.92;5.04;5.17;5.3;5.43;5.57;5.7;5.84;5.98;6.12;6.26;6.4;6.54;6.69;6.83;6.97;7.12;7.27;7.42;7.57;7.72;7.88;8.03;8.19;8.35;8.51;8.67;8.83;8.99;9.16;9.32;9.49;9.65;9.82
civ;mean_years_in_school_women_25_to_34_years;0.94;0.98;1.01;1.05;1.08;1.12;1.16;1.2;1.24;1.28;1.33;1.37;1.42;1.47;1.52;1.57;1.62;1.68;1.74;1.8;1.86;1.92;1.99;2.05;2.12;2.19;2.26;2.33;2.4;2.48;2.55;2.63;2.7;2.78;2.86;2.94;3.03;3.11;3.2;3.29;3.38;3.47;3.57;3.67;3.77;3.87
cmr;mean_years_in_school_women_25_to_34_years;1.77;1.84;1.9;1.97;2.05;2.12;2.2;2.28;2.37;2.45;2.54;2.64;2.74;2.84;2.95;3.05;3.17;3.28;3.41;3.53;3.66;3.79;3.93;4.07;4.21;4.36;4.5;4.64;4.78;4.92;5.06;5.2;5.34;5.48;5.62;5.76;5.9;6.04;6.18;6.32;6.46;6.6;6.74;6.88;7.02;7.17
cod;mean_years_in_school_women_25_to_34_years;1.84;1.9;1.96;2.02;2.08;2.14;2.21;2.28;2.34;2.42;2.49;2.56;2.64;2.72;2.8;2.88;2.96;3.05;3.14;3.23;3.32;3.41;3.51;3.61;3.71;3.81;3.91;4.02;4.12;4.23;4.34;4.45;4.57;4.69;4.81;4.93;5.05;5.18;5.3;5.43;5.57;5.7;5.84;5.97;6.12;6.26
cog;mean_years_in_school_women_25_to_34_years;2.61;2.7;2.78;2.87;2.96;3.06;3.16;3.26;3.36;3.46;3.57;3.68;3.8;3.92;4.04;4.17;4.29;4.43;4.56;4.7;4.84;4.99;5.14;5.29;5.45;5.61;5.77;5.93;6.09;6.26;6.42;6.58;6.74;6.9;7.06;7.23;7.39;7.55;7.71;7.87;8.04;8.2;8.36;8.52;8.69;8.85
col;mean_years_in_school_women_25_to_34_years;3.98;4.1;4.21;4.33;4.45;4.58;4.7;4.83;4.96;5.09;5.23;5.37;5.51;5.65;5.8;5.95;6.1;6.25;6.4;6.56;6.72;6.88;7.04;7.2;7.37;7.53;7.69;7.85;8.01;8.17;8.33;8.49;8.66;8.82;8.98;9.15;9.31;9.48;9.65;9.81;9.98;10.14;10.31;10.48;10.64;10.81
com;mean_years_in_school_women_25_to_34_years;1.54;1.59;1.65;1.7;1.76;1.82;1.88;1.94;2.0;2.07;2.14;2.21;2.28;2.36;2.43;2.51;2.59;2.68;2.77;2.85;2.95;3.04;3.14;3.24;3.34;3.45;3.56;3.68;3.79;3.91;4.03;4.16;4.28;4.41;4.53;4.66;4.79;4.93;5.06;5.2;5.33;5.47;5.61;5.75;5.89;6.03
cpv;mean_years_in_school_women_25_to_34_years;1.74;1.8;1.86;1.92;1.98;2.04;2.1;2.17;2.24;2.31;2.38;2.45;2.53;2.6;2.68;2.76;2.85;2.93;3.02;3.11;3.2;3.29;3.39;3.49;3.59;3.69;3.79;3.9;4.01;4.12;4.23;4.34;4.46;4.57;4.69;4.82;4.94;5.06;5.19;5.32;5.45;5.59;5.72;5.86;6.0;6.14
