geo;indicator;2012;2013;2014;2015;2016;2017
rwa;corruption_perception_index_cpi;53.0;53.0;49.0;54.0;54.0;55.0
sau;corruption_perception_index_cpi;44.0;46.0;49.0;52.0;46.0;49.0
sdn;corruption_perception_index_cpi;13.0;11.0;11.0;12.0;14.0;16.0
sen;corruption_perception_index_cpi;36.0;41.0;43.0;44.0;45.0;45.0
sgp;corruption_perception_index_cpi;87.0;86.0;84.0;85.0;84.0;84.0
slb;corruption_perception_index_cpi;;;;;42.0;39.0
sle;corruption_perception_index_cpi;31.0;30.0;31.0;29.0;30.0;30.0
slv;corruption_perception_index_cpi;38.0;38.0;39.0;39.0;36.0;33.0
som;corruption_perception_index_cpi;8.0;8.0;8.0;8.0;10.0;9.0
srb;corruption_perception_index_cpi;39.0;42.0;41.0;40.0;42.0;41.0
ssd;corruption_perception_index_cpi;;14.0;15.0;15.0;11.0;12.0
stp;corruption_perception_index_cpi;42.0;42.0;42.0;42.0;46.0;46.0
sur;corruption_perception_index_cpi;37.0;36.0;36.0;36.0;45.0;41.0
svk;corruption_perception_index_cpi;46.0;47.0;50.0;51.0;51.0;50.0
svn;corruption_perception_index_cpi;61.0;57.0;58.0;60.0;61.0;61.0
swe;corruption_perception_index_cpi;88.0;89.0;87.0;89.0;88.0;84.0
swz;corruption_perception_index_cpi;37.0;39.0;43.0;;;39.0
syc;corruption_perception_index_cpi;52.0;54.0;55.0;55.0;;60.0
syr;corruption_perception_index_cpi;26.0;17.0;20.0;18.0;13.0;14.0
tcd;corruption_perception_index_cpi;19.0;19.0;22.0;22.0;20.0;20.0
tgo;corruption_perception_index_cpi;30.0;29.0;29.0;32.0;32.0;32.0
tha;corruption_perception_index_cpi;37.0;35.0;38.0;38.0;35.0;37.0
tjk;corruption_perception_index_cpi;22.0;22.0;23.0;26.0;25.0;21.0
tkm;corruption_perception_index_cpi;17.0;17.0;17.0;18.0;22.0;19.0
tls;corruption_perception_index_cpi;33.0;30.0;28.0;28.0;35.0;38.0
tto;corruption_perception_index_cpi;39.0;38.0;38.0;39.0;35.0;41.0
tun;corruption_perception_index_cpi;41.0;41.0;40.0;38.0;41.0;42.0
tur;corruption_perception_index_cpi;49.0;50.0;45.0;42.0;41.0;40.0
twn;corruption_perception_index_cpi;61.0;61.0;61.0;62.0;61.0;63.0
tza;corruption_perception_index_cpi;35.0;33.0;31.0;30.0;32.0;36.0
uga;corruption_perception_index_cpi;29.0;26.0;26.0;25.0;25.0;26.0
ukr;corruption_perception_index_cpi;26.0;25.0;26.0;27.0;29.0;30.0
ury;corruption_perception_index_cpi;72.0;73.0;73.0;74.0;71.0;70.0
usa;corruption_perception_index_cpi;73.0;73.0;74.0;76.0;74.0;75.0
uzb;corruption_perception_index_cpi;17.0;17.0;18.0;19.0;21.0;22.0
vct;corruption_perception_index_cpi;62.0;62.0;62.0;;60.0;58.0
ven;corruption_perception_index_cpi;19.0;20.0;19.0;17.0;17.0;18.0
vnm;corruption_perception_index_cpi;31.0;31.0;31.0;31.0;33.0;35.0
vut;corruption_perception_index_cpi;;;;;;43.0
yem;corruption_perception_index_cpi;23.0;18.0;19.0;18.0;14.0;16.0
zaf;corruption_perception_index_cpi;43.0;42.0;44.0;44.0;45.0;43.0
zmb;corruption_perception_index_cpi;37.0;38.0;38.0;38.0;38.0;37.0
zwe;corruption_perception_index_cpi;20.0;21.0;21.0;21.0;22.0;22.0
