星期,營運日,總 運 量 (單位：人次)
二,2016-05-24,2036762.0
三,2016-05-25,2064867.0
四,2016-05-26,2062843.0
五,2016-05-27,2245752.0
六,2016-05-28,1992370.0
日,2016-05-29,1641869.0
一,2016-05-30,1987501.0
二,2016-05-31,2046651.0
三,2016-06-01,2085241.0
四,2016-06-02,2057406.0
五,2016-06-03,2217653.0
六,2016-06-04,2141420.0
日,2016-06-05,1628951.0
一,2016-06-06,2009914.0
二,2016-06-07,2060645.0
三,2016-06-08,2206745.0
四,2016-06-09,1383568.0
五,2016-06-10,1644107.0
六,2016-06-11,1656988.0
日,2016-06-12,1545124.0
一,2016-06-13,1998527.0
二,2016-06-14,2020762.0
三,2016-06-15,2087579.0
四,2016-06-16,2082883.0
五,2016-06-17,2238000.0
六,2016-06-18,1919994.0
日,2016-06-19,1633198.0
一,2016-06-20,2000513.0
二,2016-06-21,2052881.0
三,2016-06-22,2097523.0
四,2016-06-23,2102941.0
五,2016-06-24,2274718.0
六,2016-06-25,1938883.0
日,2016-06-26,1588645.0
一,2016-06-27,2004035.0
二,2016-06-28,2006246.0
三,2016-06-29,2072423.0
四,2016-06-30,2185900.0
五,2016-07-01,2231306.0
六,2016-07-02,1829985.0
日,2016-07-03,1640386.0
一,2016-07-04,2053298.0
二,2016-07-05,2101983.0
三,2016-07-06,2155775.0
四,2016-07-07,1922765.0
五,2016-07-08,612520.0
六,2016-07-09,1826588.0
日,2016-07-10,1639536.0
一,2016-07-11,2112239.0
二,2016-07-12,2139596.0
三,2016-07-13,2137249.0
四,2016-07-14,2139774.0
五,2016-07-15,2265432.0
六,2016-07-16,1979353.0
日,2016-07-17,1665041.0
一,2016-07-18,2022423.0
二,2016-07-19,2085492.0
三,2016-07-20,2100772.0
四,2016-07-21,2135509.0
五,2016-07-22,2255931.0
六,2016-07-23,1963725.0
日,2016-07-24,1656870.0
一,2016-07-25,2020502.0
二,2016-07-26,2078489.0
三,2016-07-27,2109408.0
四,2016-07-28,2107261.0
五,2016-07-29,2243133.0
六,2016-07-30,1912883.0
日,2016-07-31,1668929.0
一,2016-08-01,2024048.0
二,2016-08-02,2044790.0
三,2016-08-03,2068432.0
四,2016-08-04,2095718.0
五,2016-08-05,2250765.0
六,2016-08-06,1926113.0
日,2016-08-07,1616707.0
一,2016-08-08,2002855.0
二,2016-08-09,2102402.0
三,2016-08-10,2136288.0
四,2016-08-11,2148121.0
五,2016-08-12,2296179.0
六,2016-08-13,2024714.0
日,2016-08-14,1751907.0
一,2016-08-15,2084316.0
二,2016-08-16,2099395.0
三,2016-08-17,2023387.0
四,2016-08-18,2131199.0
五,2016-08-19,2243406.0
六,2016-08-20,1980454.0
日,2016-08-21,1709172.0
一,2016-08-22,2034753.0
二,2016-08-23,2097749.0
三,2016-08-24,2136471.0
四,2016-08-25,2128694.0
五,2016-08-26,2243950.0
六,2016-08-27,1957100.0
日,2016-08-28,1608973.0
一,2016-08-29,2027089.0
二,2016-08-30,2041931.0
三,2016-08-31,2066324.0
四,2016-09-01,2071956.0
五,2016-09-02,2222173.0
六,2016-09-03,2092500.0
日,2016-09-04,1672593.0
一,2016-09-05,2051581.0
二,2016-09-06,2072117.0
三,2016-09-07,2107294.0
四,2016-09-08,2124783.0
五,2016-09-09,2227394.0
六,2016-09-10,2152507.0
日,2016-09-11,1788368.0
一,2016-09-12,2115828.0
二,2016-09-13,2135404.0
三,2016-09-14,2009847.0
四,2016-09-15,1291609.0
五,2016-09-16,1594095.0
六,2016-09-17,856176.0
日,2016-09-18,1528804.0
一,2016-09-19,2033796.0
二,2016-09-20,2075592.0
三,2016-09-21,2099653.0
四,2016-09-22,2097947.0
五,2016-09-23,2295456.0
六,2016-09-24,2067411.0
日,2016-09-25,1695194.0
一,2016-09-26,2050059.0
二,2016-09-27,150242.0
三,2016-09-28,1133027.0
四,2016-09-29,2104662.0
五,2016-09-30,2311381.0
六,2016-10-01,2027313.0
日,2016-10-02,1682509.0
一,2016-10-03,2077398.0
二,2016-10-04,2120151.0
三,2016-10-05,2156306.0
四,2016-10-06,2166085.0
五,2016-10-07,2374093.0
六,2016-10-08,1848146.0
日,2016-10-09,1594762.0
一,2016-10-10,1533029.0
二,2016-10-11,2122463.0
三,2016-10-12,2162674.0
四,2016-10-13,2172968.0
五,2016-10-14,2375774.0
六,2016-10-15,2095274.0
日,2016-10-16,1770802.0
一,2016-10-17,2054087.0
二,2016-10-18,2095013.0
三,2016-10-19,2118438.0
四,2016-10-20,2118636.0
五,2016-10-21,2300375.0
六,2016-10-22,1993385.0
日,2016-10-23,1718588.0
一,2016-10-24,2055085.0
二,2016-10-25,1897025.0
三,2016-10-26,2108092.0
四,2016-10-27,2116422.0
五,2016-10-28,2307124.0
六,2016-10-29,2043614.0
日,2016-10-30,1757436.0
一,2016-10-31,1839311.0
三,2017-02-01,1565485.0
四,2017-02-02,1990640.0
五,2017-02-03,2161128.0
六,2017-02-04,1994773.0
日,2017-02-05,1711749.0
一,2017-02-06,2145657.0
二,2017-02-07,2205460.0
三,2017-02-08,2247330.0
四,2017-02-09,2180141.0
五,2017-02-10,2360414.0
六,2017-02-11,2101629.0
日,2017-02-12,1828262.0
一,2017-02-13,2101904.0
二,2017-02-14,2165802.0
三,2017-02-15,2132593.0
四,2017-02-16,2141177.0
五,2017-02-17,2268409.0
六,2017-02-18,2228255.0
日,2017-02-19,1861147.0
一,2017-02-20,2126807.0
二,2017-02-21,2152463.0
三,2017-02-22,2140162.0
四,2017-02-23,2154013.0
五,2017-02-24,2345214.0
六,2017-02-25,1807223.0
日,2017-02-26,1721436.0
一,2017-02-27,1852627.0
二,2017-02-28,1615869.0
三,2017-03-01,2088893.0
四,2017-03-02,2084461.0
五,2017-03-03,2287419.0
六,2017-03-04,2012231.0
日,2017-03-05,1770122.0
一,2017-03-06,2101708.0
二,2017-03-07,2150048.0
三,2017-03-08,2203459.0
四,2017-03-09,2198453.0
五,2017-03-10,2400005.0
六,2017-03-11,2100336.0
日,2017-03-12,1831527.0
一,2017-03-13,2129534.0
二,2017-03-14,2168801.0
三,2017-03-15,2175622.0
四,2017-03-16,2212951.0
五,2017-03-17,2396654.0
六,2017-03-18,2118684.0
日,2017-03-19,1720963.0
一,2017-03-20,2081692.0
二,2017-03-21,2129987.0
三,2017-03-22,2182418.0
四,2017-03-23,2203776.0
五,2017-03-24,2401878.0
六,2017-03-25,1975025.0
日,2017-03-26,1655470.0
一,2017-03-27,2102268.0
二,2017-03-28,2143971.0
三,2017-03-29,2266744.0
四,2017-03-30,2173960.0
五,2017-03-31,2329942.0
二,2017-08-01,2056366.0
三,2017-08-02,2044076.0
四,2017-08-03,2108052.0
五,2017-08-04,2222245.0
六,2017-08-05,1916078.0
日,2017-08-06,1628695.0
一,2017-08-07,2044614.0
二,2017-08-08,2043332.0
三,2017-08-09,2120292.0
四,2017-08-10,2159835.0
五,2017-08-11,2289133.0
六,2017-08-12,2010445.0
日,2017-08-13,1692212.0
一,2017-08-14,2052866.0
二,2017-08-15,2118871.0
三,2017-08-16,2102736.0
四,2017-08-17,2117383.0
五,2017-08-18,2246447.0
六,2017-08-19,1951490.0
日,2017-08-20,1697393.0
一,2017-08-21,2049124.0
二,2017-08-22,2073977.0
三,2017-08-23,2133513.0
四,2017-08-24,2142075.0
五,2017-08-25,2274103.0
六,2017-08-26,2062138.0
日,2017-08-27,1679329.0
一,2017-08-28,2116191.0
二,2017-08-29,2058000.0
三,2017-08-30,2066843.0
四,2017-08-31,2060866.0
日,2017-10-01,1660582.0
一,2017-10-02,2076454.0
二,2017-10-03,2216893.0
三,2017-10-04,1402500.0
四,2017-10-05,2129030.0
五,2017-10-06,2308076.0
六,2017-10-07,1829678.0
日,2017-10-08,1693153.0
一,2017-10-09,1690483.0
二,2017-10-10,1523930.0
三,2017-10-11,2051915.0
四,2017-10-12,2074510.0
五,2017-10-13,2245208.0
六,2017-10-14,1704860.0
日,2017-10-15,1510202.0
一,2017-10-16,2076568.0
二,2017-10-17,2117767.0
三,2017-10-18,2146184.0
四,2017-10-19,2173660.0
五,2017-10-20,2358215.0
六,2017-10-21,2069982.0
日,2017-10-22,1787401.0
一,2017-10-23,2076072.0
二,2017-10-24,2112018.0
三,2017-10-25,2147053.0
四,2017-10-26,2163710.0
五,2017-10-27,2378397.0
六,2017-10-28,2103855.0
日,2017-10-29,1771333.0
一,2017-10-30,2098516.0
二,2017-10-31,2103407.0
四,2018-03-01,2209721.0
五,2018-03-02,2372185.0
六,2018-03-03,2193043.0
日,2018-03-04,1763921.0
一,2018-03-05,2127286.0
二,2018-03-06,2173145.0
三,2018-03-07,2210099.0
四,2018-03-08,2236563.0
五,2018-03-09,2422478.0
六,2018-03-10,2164494.0
日,2018-03-11,1853987.0
一,2018-03-12,2152647.0
二,2018-03-13,2194164.0
三,2018-03-14,2228608.0
四,2018-03-15,2245142.0
五,2018-03-16,2453438.0
六,2018-03-17,2131707.0
日,2018-03-18,1871538.0
一,2018-03-19,2161485.0
二,2018-03-20,2170415.0
三,2018-03-21,2209852.0
四,2018-03-22,2223826.0
五,2018-03-23,2418726.0
六,2018-03-24,2112760.0
日,2018-03-25,1748948.0
一,2018-03-26,2136608.0
二,2018-03-27,2184449.0
三,2018-03-28,2206511.0
四,2018-03-29,2225796.0
五,2018-03-30,2321120.0
六,2018-03-31,2234177.0
二,2018-05-01,1830443.0
三,2018-05-02,2149852.0
四,2018-05-03,2173771.0
五,2018-05-04,2401476.0
六,2018-05-05,2050466.0
日,2018-05-06,1751591.0
一,2018-05-07,2122472.0
二,2018-05-08,2147879.0
三,2018-05-09,2181976.0
四,2018-05-10,2205698.0
五,2018-05-11,2400041.0
六,2018-05-12,1939125.0
日,2018-05-13,1614869.0
一,2018-05-14,2089882.0
二,2018-05-15,2122561.0
三,2018-05-16,2137588.0
四,2018-05-17,2150279.0
五,2018-05-18,2393201.0
六,2018-05-19,2028726.0
日,2018-05-20,1759232.0
一,2018-05-21,2091554.0
二,2018-05-22,2131468.0
三,2018-05-23,2132584.0
四,2018-05-24,2173502.0
五,2018-05-25,2376873.0
六,2018-05-26,2136526.0
日,2018-05-27,1765091.0
一,2018-05-28,2114586.0
二,2018-05-29,2119968.0
三,2018-05-30,2135388.0
四,2018-05-31,2150649.0
日,2018-04-01,1697619.0
一,2018-04-02,2071359.0
二,2018-04-03,2189626.0
三,2018-04-04,1697997.0
四,2018-04-05,1522905.0
五,2018-04-06,1694341.0
六,2018-04-07,1744916.0
日,2018-04-08,1645586.0
一,2018-04-09,2056059.0
二,2018-04-10,2110370.0
三,2018-04-11,2145962.0
四,2018-04-12,2147178.0
五,2018-04-13,2349624.0
六,2018-04-14,1989513.0
日,2018-04-15,1653740.0
一,2018-04-16,2105224.0
二,2018-04-17,2174733.0
三,2018-04-18,2177685.0
四,2018-04-19,2186498.0
五,2018-04-20,2372013.0
六,2018-04-21,2085381.0
日,2018-04-22,1762073.0
一,2018-04-23,2093310.0
二,2018-04-24,2123145.0
三,2018-04-25,2218000.0
四,2018-04-26,2235603.0
五,2018-04-27,2398307.0
六,2018-04-28,2073450.0
日,2018-04-29,1769243.0
一,2018-04-30,2173731.0
五,2018-06-01,2364411.0
六,2018-06-02,1926201.0
日,2018-06-03,1649380.0
一,2018-06-04,2063115.0
二,2018-06-05,2147953.0
三,2018-06-06,2173023.0
四,2018-06-07,2207710.0
五,2018-06-08,2387155.0
六,2018-06-09,2075195.0
日,2018-06-10,1680390.0
一,2018-06-11,2109647.0
二,2018-06-12,2167642.0
三,2018-06-13,2156409.0
四,2018-06-14,2171239.0
五,2018-06-15,2372389.0
六,2018-06-16,1836201.0
日,2018-06-17,1651627.0
一,2018-06-18,1292320.0
二,2018-06-19,2128135.0
三,2018-06-20,2144629.0
四,2018-06-21,2166846.0
五,2018-06-22,2299696.0
六,2018-06-23,1879484.0
日,2018-06-24,1561289.0
一,2018-06-25,2059105.0
二,2018-06-26,2120325.0
三,2018-06-27,2153432.0
四,2018-06-28,2202663.0
五,2018-06-29,2413304.0
六,2018-06-30,1943107.0
日,2018-07-01,1646887.0
一,2018-07-02,2099540.0
二,2018-07-03,2123857.0
三,2018-07-04,2148260.0
四,2018-07-05,2173878.0
五,2018-07-06,2335565.0
六,2018-07-07,1937749.0
日,2018-07-08,1679477.0
一,2018-07-09,2154085.0
二,2018-07-10,1710138.0
三,2018-07-11,1482047.0
四,2018-07-12,2197522.0
五,2018-07-13,2372122.0
六,2018-07-14,1957895.0
日,2018-07-15,1676915.0
一,2018-07-16,2112468.0
